"ZCTA5","ZIPNAME","COUNTY","CBSA","CBSA_NAME","MSA","MSA_NAME"
"98338","GRAHAM","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98338","GRAHAM","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98338","GRAHAM","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98338","GRAHAM","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98339","PORT HADLOCK","Jefferson WA",NA," ",NA," "
"98339","PORT HADLOCK","Jefferson WA",NA," ",NA," "
"98340","HANSVILLE","Kitsap WA","14740","Bremerton-Silverdale, WA","14740"," "
"98342","INDIANOLA","Kitsap WA","14740","Bremerton-Silverdale, WA","14740"," "
"98345","KEYPORT","Kitsap WA","14740","Bremerton-Silverdale, WA","14740"," "
"98346","KINGSTON","Kitsap WA","14740","Bremerton-Silverdale, WA","14740"," "
"98346","KINGSTON","Kitsap WA","14740","Bremerton-Silverdale, WA","14740"," "
"98349","HOME","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98350","LA PUSH","Clallam WA","38820","Port Angeles, WA","38820"," "
"98351","LONGBRANCH","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98353","MANCHESTER","Kitsap WA","14740","Bremerton-Silverdale, WA","14740"," "
"98354","MILTON","King WA","42660","Seattle-Tacoma-Bellevue, WA","42644","Seattle-Bellevue-Everett, WA"
"98354","MILTON","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98355","MINERAL","Lewis WA","16500","Centralia, WA","16500"," "
"98356","MORTON","Lewis WA","16500","Centralia, WA","16500"," "
"98356","MORTON","Lewis WA","16500","Centralia, WA","16500"," "
"98356","MORTON","Lewis WA","16500","Centralia, WA","16500"," "
"98357","NEAH BAY","Clallam WA","38820","Port Angeles, WA","38820"," "
"98358","NORDLAND","Jefferson WA",NA," ",NA," "
