"ZCTA5","ZIPNAME","COUNTY","CBSA","CBSA_NAME","MSA","MSA_NAME"
"98604","BATTLE GROUND","Clark WA","38900","Portland-Vancouver-Hillsboro, OR-WA","38900"," "
"98605","COOK","Klickitat WA",NA," ",NA," "
"98605","COOK","Skamania WA","38900","Portland-Vancouver-Hillsboro, OR-WA","38900"," "
"98606","BRUSH PRAIRIE","Clark WA","38900","Portland-Vancouver-Hillsboro, OR-WA","38900"," "
"98606","BRUSH PRAIRIE","Clark WA","38900","Portland-Vancouver-Hillsboro, OR-WA","38900"," "
"98607","CAMAS","Clark WA","38900","Portland-Vancouver-Hillsboro, OR-WA","38900"," "
"98607","CAMAS","Clark WA","38900","Portland-Vancouver-Hillsboro, OR-WA","38900"," "
"98610","CARSON","Skamania WA","38900","Portland-Vancouver-Hillsboro, OR-WA","38900"," "
"98610","CARSON","Skamania WA","38900","Portland-Vancouver-Hillsboro, OR-WA","38900"," "
"98611","CASTLE ROCK","Cowlitz WA","31020","Longview, WA","31020"," "
"98611","CASTLE ROCK","Cowlitz WA","31020","Longview, WA","31020"," "
"98611","CASTLE ROCK","Cowlitz WA","31020","Longview, WA","31020"," "
"98612","CATHLAMET","Wahkiakum WA",NA," ",NA," "
"98612","CATHLAMET","Wahkiakum WA",NA," ",NA," "
"98612","CATHLAMET","Wahkiakum WA",NA," ",NA," "
"98613","CENTERVILLE","Klickitat WA",NA," ",NA," "
"98613","CENTERVILLE","Klickitat WA",NA," ",NA," "
"98614","CHINOOK","Pacific WA",NA," ",NA," "
"98616","COUGAR","Cowlitz WA","31020","Longview, WA","31020"," "
"98617","DALLESPORT","Klickitat WA",NA," ",NA," "
"98619","GLENWOOD","Klickitat WA",NA," ",NA," "
"98620","GOLDENDALE","Klickitat WA",NA," ",NA," "
"98620","GOLDENDALE","Klickitat WA",NA," ",NA," "
"98620","GOLDENDALE","Klickitat WA",NA," ",NA," "
"98620","GOLDENDALE","Klickitat WA",NA," ",NA," "
"98621","GRAYS RIVER","Wahkiakum WA",NA," ",NA," "
"98624","ILWACO","Pacific WA",NA," ",NA," "
"98624","ILWACO","Pacific WA",NA," ",NA," "
"98625","KALAMA","Cowlitz WA","31020","Longview, WA","31020"," "
"98625","KALAMA","Cowlitz WA","31020","Longview, WA","31020"," "
"98625","KALAMA","Cowlitz WA","31020","Longview, WA","31020"," "
"98626","KELSO","Cowlitz WA","31020","Longview, WA","31020"," "
"98626","KELSO","Cowlitz WA","31020","Longview, WA","31020"," "
"98626","KELSO","Cowlitz WA","31020","Longview, WA","31020"," "
"98626","KELSO","Cowlitz WA","31020","Longview, WA","31020"," "
"98628","KLICKITAT","Klickitat WA",NA," ",NA," "
"98628","KLICKITAT","Klickitat WA",NA," ",NA," "
"98629","LA CENTER","Clark WA","38900","Portland-Vancouver-Hillsboro, OR-WA","38900"," "
"98631","LONG BEACH","Pacific WA",NA," ",NA," "
"98632","LONGVIEW","Cowlitz WA","31020","Longview, WA","31020"," "
