"MSA.code","MSA.name","SOC.code","SOC.title","EST.employment","ANNUAL.wage","SOC.CategoryCode","SOC.CategoryName"
"13380","Bellingham, WA","13-2011","Accountants & Auditors",682,65144,"13","Business and Financial Operations"
"14740","Bremerton-Silverdale, WA","13-2011","Accountants & Auditors",454,69042,"13","Business and Financial Operations"
"28420","Kennewick-Richland, WA","13-2011","Accountants & Auditors",712,71715,"13","Business and Financial Operations"
"30300","Lewiston, ID-WA","13-2011","Accountants & Auditors",128,65440,"13","Business and Financial Operations"
"31020","Longview, WA","13-2011","Accountants & Auditors",166,67705,"13","Business and Financial Operations"
"34580","Mount Vernon-Anacortes, WA","13-2011","Accountants & Auditors",240,68542,"13","Business and Financial Operations"
"36500","Olympia-Tumwater, WA","13-2011","Accountants & Auditors",749,70603,"13","Business and Financial Operations"
"38900","Portland-Vancouver-Hillsboro, OR-WA","13-2011","Accountants & Auditors",9513,70205,"13","Business and Financial Operations"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","13-2011","Accountants & Auditors",17257,76644,"13","Business and Financial Operations"
"44060","Spokane-Spokane Valley, WA","13-2011","Accountants & Auditors",1639,66093,"13","Business and Financial Operations"
"45104","Tacoma-Lakewood, WA Metropolitan Division","13-2011","Accountants & Auditors",2086,68960,"13","Business and Financial Operations"
"47460","Walla Walla, WA","13-2011","Accountants & Auditors",172,76889,"13","Business and Financial Operations"
"48300","Wenatchee, WA","13-2011","Accountants & Auditors",282,68603,"13","Business and Financial Operations"
"49420","Yakima, WA","13-2011","Accountants & Auditors",440,64960,"13","Business and Financial Operations"
"530001","Northwestern WA Nonmetropolitan Area (NMA)","13-2011","Accountants & Auditors",333,68032,"13","Business and Financial Operations"
"530002","Southwestern WA Nonmetropolitan Area (NMA)","13-2011","Accountants & Auditors",369,63970,"13","Business and Financial Operations"
"530003","Central WA Nonmetropolitan Area (NMA)","13-2011","Accountants & Auditors",148,56266,"13","Business and Financial Operations"
"530004","Eastern WA Nonmetropolitan Area (NMA)","13-2011","Accountants & Auditors",368,64226,"13","Business and Financial Operations"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","15-2011","Actuaries",238,118226,"15","Computer and Mathematical"
"44060","Spokane-Spokane Valley, WA","15-2011","Actuaries",17,89659,"15","Computer and Mathematical"
"13380","Bellingham, WA","51-9191","Adhesive Bonding Machine Operators & Tenders",48,24154.83,"51","Production"
"38900","Portland-Vancouver-Hillsboro, OR-WA","51-9191","Adhesive Bonding Machine Operators & Tenders",111,38706,"51","Production"
"44060","Spokane-Spokane Valley, WA","51-9191","Adhesive Bonding Machine Operators & Tenders",46,30670,"51","Production"
"45104","Tacoma-Lakewood, WA Metropolitan Division","51-9191","Adhesive Bonding Machine Operators & Tenders",21,41544,"51","Production"
"49420","Yakima, WA","51-9191","Adhesive Bonding Machine Operators & Tenders",17,28180.64,"51","Production"
"530002","Southwestern WA Nonmetropolitan Area (NMA)","51-9191","Adhesive Bonding Machine Operators & Tenders",20,34009,"51","Production"
"38900","Portland-Vancouver-Hillsboro, OR-WA","23-1021","Admin Law Judges, Adjudicators & Hearing Officers",162,88515,"23","Legal"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","23-1021","Admin Law Judges, Adjudicators & Hearing Officers",121,109122,"23","Legal"
"44060","Spokane-Spokane Valley, WA","23-1021","Admin Law Judges, Adjudicators & Hearing Officers",21,117648,"23","Legal"
"45104","Tacoma-Lakewood, WA Metropolitan Division","23-1021","Admin Law Judges, Adjudicators & Hearing Officers",34,121233,"23","Legal"
"13380","Bellingham, WA","11-3011","Administrative Services Managers",99,92899,"11","Management"
"14740","Bremerton-Silverdale, WA","11-3011","Administrative Services Managers",86,77624,"11","Management"
"28420","Kennewick-Richland, WA","11-3011","Administrative Services Managers",179,120584,"11","Management"
"30300","Lewiston, ID-WA","11-3011","Administrative Services Managers",52,66848,"11","Management"
"31020","Longview, WA","11-3011","Administrative Services Managers",49,115594,"11","Management"
"34580","Mount Vernon-Anacortes, WA","11-3011","Administrative Services Managers",62,87246,"11","Management"
"36500","Olympia-Tumwater, WA","11-3011","Administrative Services Managers",130,95512,"11","Management"
"38900","Portland-Vancouver-Hillsboro, OR-WA","11-3011","Administrative Services Managers",2256,90328,"11","Management"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","11-3011","Administrative Services Managers",2946,120665,"11","Management"
"44060","Spokane-Spokane Valley, WA","11-3011","Administrative Services Managers",309,81001,"11","Management"
"45104","Tacoma-Lakewood, WA Metropolitan Division","11-3011","Administrative Services Managers",360,88634,"11","Management"
"47460","Walla Walla, WA","11-3011","Administrative Services Managers",27,77307,"11","Management"
"48300","Wenatchee, WA","11-3011","Administrative Services Managers",55,106614,"11","Management"
"49420","Yakima, WA","11-3011","Administrative Services Managers",67,80093,"11","Management"
"530001","Northwestern WA Nonmetropolitan Area (NMA)","11-3011","Administrative Services Managers",68,79603,"11","Management"
"530002","Southwestern WA Nonmetropolitan Area (NMA)","11-3011","Administrative Services Managers",83,85726,"11","Management"
"530003","Central WA Nonmetropolitan Area (NMA)","11-3011","Administrative Services Managers",36,60430,"11","Management"
"530004","Eastern WA Nonmetropolitan Area (NMA)","11-3011","Administrative Services Managers",98,92797,"11","Management"
"13380","Bellingham, WA","25-3011","Adult Literacy, Remedial Ed, GED Teachers/Instructors",90,49326,"25","Education, Training, and Library"
"28420","Kennewick-Richland, WA","25-3011","Adult Literacy, Remedial Ed, GED Teachers/Instructors",63,48910,"25","Education, Training, and Library"
"36500","Olympia-Tumwater, WA","25-3011","Adult Literacy, Remedial Ed, GED Teachers/Instructors",53,43635,"25","Education, Training, and Library"
"38900","Portland-Vancouver-Hillsboro, OR-WA","25-3011","Adult Literacy, Remedial Ed, GED Teachers/Instructors",343,57720,"25","Education, Training, and Library"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","25-3011","Adult Literacy, Remedial Ed, GED Teachers/Instructors",1307,52819,"25","Education, Training, and Library"
"45104","Tacoma-Lakewood, WA Metropolitan Division","25-3011","Adult Literacy, Remedial Ed, GED Teachers/Instructors",223,53295,"25","Education, Training, and Library"
"48300","Wenatchee, WA","25-3011","Adult Literacy, Remedial Ed, GED Teachers/Instructors",56,50693,"25","Education, Training, and Library"
"49420","Yakima, WA","25-3011","Adult Literacy, Remedial Ed, GED Teachers/Instructors",96,44283,"25","Education, Training, and Library"
"530001","Northwestern WA Nonmetropolitan Area (NMA)","25-3011","Adult Literacy, Remedial Ed, GED Teachers/Instructors",35,52880,"25","Education, Training, and Library"
"530002","Southwestern WA Nonmetropolitan Area (NMA)","25-3011","Adult Literacy, Remedial Ed, GED Teachers/Instructors",67,47756,"25","Education, Training, and Library"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","11-2011","Advertising & Promotions Managers",501,131665,"11","Management"
"44060","Spokane-Spokane Valley, WA","11-2011","Advertising & Promotions Managers",27,88736,"11","Management"
"13380","Bellingham, WA","41-3011","Advertising Sales Agents",67,61010,"41","Sales and Related"
"14740","Bremerton-Silverdale, WA","41-3011","Advertising Sales Agents",57,57070,"41","Sales and Related"
"28420","Kennewick-Richland, WA","41-3011","Advertising Sales Agents",75,62410,"41","Sales and Related"
"34580","Mount Vernon-Anacortes, WA","41-3011","Advertising Sales Agents",16,73450,"41","Sales and Related"
"36500","Olympia-Tumwater, WA","41-3011","Advertising Sales Agents",39,33330,"41","Sales and Related"
"38900","Portland-Vancouver-Hillsboro, OR-WA","41-3011","Advertising Sales Agents",747,54270,"41","Sales and Related"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","41-3011","Advertising Sales Agents",1582,53880,"41","Sales and Related"
"44060","Spokane-Spokane Valley, WA","41-3011","Advertising Sales Agents",237,52380,"41","Sales and Related"
"45104","Tacoma-Lakewood, WA Metropolitan Division","41-3011","Advertising Sales Agents",107,47680,"41","Sales and Related"
"48300","Wenatchee, WA","41-3011","Advertising Sales Agents",48,41440,"41","Sales and Related"
"49420","Yakima, WA","41-3011","Advertising Sales Agents",105,55160,"41","Sales and Related"
"530001","Northwestern WA Nonmetropolitan Area (NMA)","41-3011","Advertising Sales Agents",19,64520,"41","Sales and Related"
"530002","Southwestern WA Nonmetropolitan Area (NMA)","41-3011","Advertising Sales Agents",38,39940,"41","Sales and Related"
"530003","Central WA Nonmetropolitan Area (NMA)","41-3011","Advertising Sales Agents",26,33140,"41","Sales and Related"
"530004","Eastern WA Nonmetropolitan Area (NMA)","41-3011","Advertising Sales Agents",28,40370,"41","Sales and Related"
"38900","Portland-Vancouver-Hillsboro, OR-WA","17-3021","Aerospace Engineering & Operations Technicians",22,72809,"17","Architecture and Engineering"
"38900","Portland-Vancouver-Hillsboro, OR-WA","17-2011","Aerospace Engineers",39,97061,"17","Architecture and Engineering"
"45104","Tacoma-Lakewood, WA Metropolitan Division","17-2011","Aerospace Engineers",60,125385,"17","Architecture and Engineering"
"38900","Portland-Vancouver-Hillsboro, OR-WA","13-1011","Agents/Business Mgrs of Artists, Performers, Athletes",63,53787,"13","Business and Financial Operations"
"28420","Kennewick-Richland, WA","19-4011","Agricultural & Food Science Technicians",25,48728,"19","Life, Physical, and Social Science"
"38900","Portland-Vancouver-Hillsboro, OR-WA","19-4011","Agricultural & Food Science Technicians",304,44100,"19","Life, Physical, and Social Science"
"45104","Tacoma-Lakewood, WA Metropolitan Division","19-4011","Agricultural & Food Science Technicians",32,36212,"19","Life, Physical, and Social Science"
"530004","Eastern WA Nonmetropolitan Area (NMA)","19-4011","Agricultural & Food Science Technicians",56,42632,"19","Life, Physical, and Social Science"
"28420","Kennewick-Richland, WA","45-2091","Agricultural Equipment Operators",23,33519,"45","Farming, Fishing, and Forestry"
"48300","Wenatchee, WA","45-2091","Agricultural Equipment Operators",22,35690,"45","Farming, Fishing, and Forestry"
"530004","Eastern WA Nonmetropolitan Area (NMA)","45-2091","Agricultural Equipment Operators",175,33733,"45","Farming, Fishing, and Forestry"
"28420","Kennewick-Richland, WA","45-2011","Agricultural Inspectors",14,52994,"45","Farming, Fishing, and Forestry"
"38900","Portland-Vancouver-Hillsboro, OR-WA","45-2011","Agricultural Inspectors",86,53728,"45","Farming, Fishing, and Forestry"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","45-2011","Agricultural Inspectors",67,59089,"45","Farming, Fishing, and Forestry"
"47460","Walla Walla, WA","45-2011","Agricultural Inspectors",14,47634,"45","Farming, Fishing, and Forestry"
"48300","Wenatchee, WA","45-2011","Agricultural Inspectors",15,51619,"45","Farming, Fishing, and Forestry"
"49420","Yakima, WA","45-2011","Agricultural Inspectors",71,48857,"45","Farming, Fishing, and Forestry"
"530004","Eastern WA Nonmetropolitan Area (NMA)","45-2011","Agricultural Inspectors",18,44597,"45","Farming, Fishing, and Forestry"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","53-2021","Air Traffic Controllers",452,132113,"53","Transportation and Material Moving"
"38900","Portland-Vancouver-Hillsboro, OR-WA","53-1011","Aircraft Cargo Handling Supervisors",55,55906,"53","Transportation and Material Moving"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","53-1011","Aircraft Cargo Handling Supervisors",170,50648,"53","Transportation and Material Moving"
"13380","Bellingham, WA","49-3011","Aircraft Mechanics & Service Technicians",53,49937,"49","Installation, Maintenance, and Repair"
"28420","Kennewick-Richland, WA","49-3011","Aircraft Mechanics & Service Technicians",12,45488,"49","Installation, Maintenance, and Repair"
"30300","Lewiston, ID-WA","49-3011","Aircraft Mechanics & Service Technicians",21,46694,"49","Installation, Maintenance, and Repair"
"34580","Mount Vernon-Anacortes, WA","49-3011","Aircraft Mechanics & Service Technicians",16,39244,"49","Installation, Maintenance, and Repair"
"36500","Olympia-Tumwater, WA","49-3011","Aircraft Mechanics & Service Technicians",39,56809,"49","Installation, Maintenance, and Repair"
"38900","Portland-Vancouver-Hillsboro, OR-WA","49-3011","Aircraft Mechanics & Service Technicians",636,63924,"49","Installation, Maintenance, and Repair"
"44060","Spokane-Spokane Valley, WA","49-3011","Aircraft Mechanics & Service Technicians",194,61360,"49","Installation, Maintenance, and Repair"
"45104","Tacoma-Lakewood, WA Metropolitan Division","49-3011","Aircraft Mechanics & Service Technicians",231,63357,"49","Installation, Maintenance, and Repair"
"49420","Yakima, WA","49-3011","Aircraft Mechanics & Service Technicians",20,33275,"49","Installation, Maintenance, and Repair"
"530001","Northwestern WA Nonmetropolitan Area (NMA)","49-3011","Aircraft Mechanics & Service Technicians",47,54610,"49","Installation, Maintenance, and Repair"
"45104","Tacoma-Lakewood, WA Metropolitan Division","51-2011","Aircraft Structure/Surface/Rigging/System Assemblers",48,25325.25,"51","Production"
"49420","Yakima, WA","51-2011","Aircraft Structure/Surface/Rigging/System Assemblers",46,35540,"51","Production"
"38900","Portland-Vancouver-Hillsboro, OR-WA","53-2022","Airfield Operations Specialists",34,71350,"53","Transportation and Material Moving"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","53-2022","Airfield Operations Specialists",122,67992,"53","Transportation and Material Moving"
"38900","Portland-Vancouver-Hillsboro, OR-WA","53-2011","Airline Pilots, Copilots & Flight Engineers",619,103226,"53","Transportation and Material Moving"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","53-2011","Airline Pilots, Copilots & Flight Engineers",2053,206452,"53","Transportation and Material Moving"
"13380","Bellingham, WA","39-3091","Amusement & Recreation Attendants",143,25535,"39","Personal Care and Service"
"14740","Bremerton-Silverdale, WA","39-3091","Amusement & Recreation Attendants",71,24878,"39","Personal Care and Service"
"28420","Kennewick-Richland, WA","39-3091","Amusement & Recreation Attendants",99,24087,"39","Personal Care and Service"
"34580","Mount Vernon-Anacortes, WA","39-3091","Amusement & Recreation Attendants",54,24909,"39","Personal Care and Service"
"36500","Olympia-Tumwater, WA","39-3091","Amusement & Recreation Attendants",156,23491,"39","Personal Care and Service"
"38900","Portland-Vancouver-Hillsboro, OR-WA","39-3091","Amusement & Recreation Attendants",2830,25956,"39","Personal Care and Service"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","39-3091","Amusement & Recreation Attendants",1943,25884,"39","Personal Care and Service"
"44060","Spokane-Spokane Valley, WA","39-3091","Amusement & Recreation Attendants",568,25124,"39","Personal Care and Service"
"45104","Tacoma-Lakewood, WA Metropolitan Division","39-3091","Amusement & Recreation Attendants",432,27333,"39","Personal Care and Service"
"48300","Wenatchee, WA","39-3091","Amusement & Recreation Attendants",72,26192,"39","Personal Care and Service"
"49420","Yakima, WA","39-3091","Amusement & Recreation Attendants",100,23799,"39","Personal Care and Service"
"530001","Northwestern WA Nonmetropolitan Area (NMA)","39-3091","Amusement & Recreation Attendants",26,28319,"39","Personal Care and Service"
"530002","Southwestern WA Nonmetropolitan Area (NMA)","39-3091","Amusement & Recreation Attendants",154,24816,"39","Personal Care and Service"
"530004","Eastern WA Nonmetropolitan Area (NMA)","39-3091","Amusement & Recreation Attendants",58,26203,"39","Personal Care and Service"
"38900","Portland-Vancouver-Hillsboro, OR-WA","29-1061","Anesthesiologists",365,118628.25,"29","Healthcare Practitioners and Technical"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","29-1061","Anesthesiologists",31,190346,"29","Healthcare Practitioners and Technical"
"38900","Portland-Vancouver-Hillsboro, OR-WA","33-9011","Animal Control Workers",39,52303,"33","Protective Service"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","33-9011","Animal Control Workers",66,62235,"33","Protective Service"
"44060","Spokane-Spokane Valley, WA","33-9011","Animal Control Workers",19,41281,"33","Protective Service"
"45104","Tacoma-Lakewood, WA Metropolitan Division","33-9011","Animal Control Workers",15,53371,"33","Protective Service"
"49420","Yakima, WA","33-9011","Animal Control Workers",21,42165,"33","Protective Service"
"530002","Southwestern WA Nonmetropolitan Area (NMA)","33-9011","Animal Control Workers",11,43931,"33","Protective Service"
"38900","Portland-Vancouver-Hillsboro, OR-WA","39-2011","Animal Trainers",123,31051,"39","Personal Care and Service"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","39-2011","Animal Trainers",316,40049,"39","Personal Care and Service"
"36500","Olympia-Tumwater, WA","19-3091","Anthropologists & Archeologists",35,61811,"19","Life, Physical, and Social Science"
"38900","Portland-Vancouver-Hillsboro, OR-WA","19-3091","Anthropologists & Archeologists",182,74733,"19","Life, Physical, and Social Science"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","19-3091","Anthropologists & Archeologists",87,74247,"19","Life, Physical, and Social Science"
"530004","Eastern WA Nonmetropolitan Area (NMA)","19-3091","Anthropologists & Archeologists",20,69295,"19","Life, Physical, and Social Science"
"38900","Portland-Vancouver-Hillsboro, OR-WA","25-1061","Anthropology & Archeology Teachers, Postsecondary",22,81274,"25","Education, Training, and Library"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","25-1061","Anthropology & Archeology Teachers, Postsecondary",105,88717,"25","Education, Training, and Library"
"45104","Tacoma-Lakewood, WA Metropolitan Division","25-1061","Anthropology & Archeology Teachers, Postsecondary",30,82874,"25","Education, Training, and Library"
"14740","Bremerton-Silverdale, WA","13-2021","Appraisers & Assessors of Real Estate",26,72399,"13","Business and Financial Operations"
"30300","Lewiston, ID-WA","13-2021","Appraisers & Assessors of Real Estate",12,42644,"13","Business and Financial Operations"
"38900","Portland-Vancouver-Hillsboro, OR-WA","13-2021","Appraisers & Assessors of Real Estate",411,62266,"13","Business and Financial Operations"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","13-2021","Appraisers & Assessors of Real Estate",368,77175,"13","Business and Financial Operations"
"47460","Walla Walla, WA","13-2021","Appraisers & Assessors of Real Estate",14,71103,"13","Business and Financial Operations"
"530001","Northwestern WA Nonmetropolitan Area (NMA)","13-2021","Appraisers & Assessors of Real Estate",30,55634,"13","Business and Financial Operations"
"530002","Southwestern WA Nonmetropolitan Area (NMA)","13-2021","Appraisers & Assessors of Real Estate",41,46878,"13","Business and Financial Operations"
"530004","Eastern WA Nonmetropolitan Area (NMA)","13-2021","Appraisers & Assessors of Real Estate",11,53766.22,"13","Business and Financial Operations"
"38900","Portland-Vancouver-Hillsboro, OR-WA","23-1022","Arbitrators, Mediators, & Conciliators",32,69214,"23","Legal"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","23-1022","Arbitrators, Mediators, & Conciliators",95,75128,"23","Legal"
"13380","Bellingham, WA","17-1011","Architects, Except Landscape & Naval",17,70388,"17","Architecture and Engineering"
"14740","Bremerton-Silverdale, WA","17-1011","Architects, Except Landscape & Naval",66,66642,"17","Architecture and Engineering"
"28420","Kennewick-Richland, WA","17-1011","Architects, Except Landscape & Naval",41,92697,"17","Architecture and Engineering"
"36500","Olympia-Tumwater, WA","17-1011","Architects, Except Landscape & Naval",70,75755,"17","Architecture and Engineering"
"38900","Portland-Vancouver-Hillsboro, OR-WA","17-1011","Architects, Except Landscape & Naval",1363,76566,"17","Architecture and Engineering"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","17-1011","Architects, Except Landscape & Naval",2753,78469,"17","Architecture and Engineering"
"44060","Spokane-Spokane Valley, WA","17-1011","Architects, Except Landscape & Naval",148,79725,"17","Architecture and Engineering"
"45104","Tacoma-Lakewood, WA Metropolitan Division","17-1011","Architects, Except Landscape & Naval",278,81558,"17","Architecture and Engineering"
"48300","Wenatchee, WA","17-1011","Architects, Except Landscape & Naval",13,65720,"17","Architecture and Engineering"
"530001","Northwestern WA Nonmetropolitan Area (NMA)","17-1011","Architects, Except Landscape & Naval",14,56839,"17","Architecture and Engineering"
"13380","Bellingham, WA","17-3011","Architectural & Civil Drafters",97,54207,"17","Architecture and Engineering"
"28420","Kennewick-Richland, WA","17-3011","Architectural & Civil Drafters",121,47756.18,"17","Architecture and Engineering"
"34580","Mount Vernon-Anacortes, WA","17-3011","Architectural & Civil Drafters",17,56070,"17","Architecture and Engineering"
"36500","Olympia-Tumwater, WA","17-3011","Architectural & Civil Drafters",82,50723,"17","Architecture and Engineering"
"38900","Portland-Vancouver-Hillsboro, OR-WA","17-3011","Architectural & Civil Drafters",804,53346,"17","Architecture and Engineering"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","17-3011","Architectural & Civil Drafters",1226,58936,"17","Architecture and Engineering"
"44060","Spokane-Spokane Valley, WA","17-3011","Architectural & Civil Drafters",124,48688,"17","Architecture and Engineering"
"45104","Tacoma-Lakewood, WA Metropolitan Division","17-3011","Architectural & Civil Drafters",110,55533,"17","Architecture and Engineering"
"48300","Wenatchee, WA","17-3011","Architectural & Civil Drafters",32,52769,"17","Architecture and Engineering"
"49420","Yakima, WA","17-3011","Architectural & Civil Drafters",35,42470,"17","Architecture and Engineering"
"13380","Bellingham, WA","11-9041","Architectural & Engineering Managers",88,136645,"11","Management"
"14740","Bremerton-Silverdale, WA","11-9041","Architectural & Engineering Managers",94,138655,"11","Management"
"28420","Kennewick-Richland, WA","11-9041","Architectural & Engineering Managers",593,156278,"11","Management"
"30300","Lewiston, ID-WA","11-9041","Architectural & Engineering Managers",23,108553,"11","Management"
"31020","Longview, WA","11-9041","Architectural & Engineering Managers",21,125441,"11","Management"
"36500","Olympia-Tumwater, WA","11-9041","Architectural & Engineering Managers",38,111910,"11","Management"
"38900","Portland-Vancouver-Hillsboro, OR-WA","11-9041","Architectural & Engineering Managers",3499,167074,"11","Management"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","11-9041","Architectural & Engineering Managers",2969,158849,"11","Management"
"44060","Spokane-Spokane Valley, WA","11-9041","Architectural & Engineering Managers",130,124686,"11","Management"
"45104","Tacoma-Lakewood, WA Metropolitan Division","11-9041","Architectural & Engineering Managers",109,134237,"11","Management"
"47460","Walla Walla, WA","11-9041","Architectural & Engineering Managers",28,129655,"11","Management"
"48300","Wenatchee, WA","11-9041","Architectural & Engineering Managers",12,128257,"11","Management"
"49420","Yakima, WA","11-9041","Architectural & Engineering Managers",18,111502,"11","Management"
"530001","Northwestern WA Nonmetropolitan Area (NMA)","11-9041","Architectural & Engineering Managers",17,118461,"11","Management"
"530002","Southwestern WA Nonmetropolitan Area (NMA)","11-9041","Architectural & Engineering Managers",22,128941,"11","Management"
"530004","Eastern WA Nonmetropolitan Area (NMA)","11-9041","Architectural & Engineering Managers",42,136155,"11","Management"
"38900","Portland-Vancouver-Hillsboro, OR-WA","25-1031","Architecture Teachers, Postsecondary",12,89568,"25","Education, Training, and Library"
"28420","Kennewick-Richland, WA","25-4011","Archivists",13,69072,"25","Education, Training, and Library"
"38900","Portland-Vancouver-Hillsboro, OR-WA","25-4011","Archivists",29,52961,"25","Education, Training, and Library"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","25-4011","Archivists",81,64849,"25","Education, Training, and Library"
"45104","Tacoma-Lakewood, WA Metropolitan Division","25-4011","Archivists",14,45313.4,"25","Education, Training, and Library"
"38900","Portland-Vancouver-Hillsboro, OR-WA","25-1062","Area, Ethnic & Cultural Studies Teachers, Postsecondary",23,74885,"25","Education, Training, and Library"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","25-1062","Area, Ethnic & Cultural Studies Teachers, Postsecondary",110,84424,"25","Education, Training, and Library"
"13380","Bellingham, WA","27-1011","Art Directors",13,83117,"27","Arts, Design, Entertainment, Sports, and Media"
"14740","Bremerton-Silverdale, WA","27-1011","Art Directors",32,118124,"27","Arts, Design, Entertainment, Sports, and Media"
"38900","Portland-Vancouver-Hillsboro, OR-WA","27-1011","Art Directors",890,90226,"27","Arts, Design, Entertainment, Sports, and Media"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","27-1011","Art Directors",631,106317,"27","Arts, Design, Entertainment, Sports, and Media"
"44060","Spokane-Spokane Valley, WA","27-1011","Art Directors",36,67786,"27","Arts, Design, Entertainment, Sports, and Media"
"13380","Bellingham, WA","25-1121","Art, Drama & Music Teachers Postsecondary",112,65001,"25","Education, Training, and Library"
"38900","Portland-Vancouver-Hillsboro, OR-WA","25-1121","Art, Drama & Music Teachers Postsecondary",601,71978,"25","Education, Training, and Library"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","25-1121","Art, Drama & Music Teachers Postsecondary",1000,73021,"25","Education, Training, and Library"
"45104","Tacoma-Lakewood, WA Metropolitan Division","25-1121","Art, Drama & Music Teachers Postsecondary",222,66429,"25","Education, Training, and Library"
"530001","Northwestern WA Nonmetropolitan Area (NMA)","25-1121","Art, Drama & Music Teachers Postsecondary",14,52556,"25","Education, Training, and Library"
"530002","Southwestern WA Nonmetropolitan Area (NMA)","25-1121","Art, Drama & Music Teachers Postsecondary",26,43797,"25","Education, Training, and Library"
"38900","Portland-Vancouver-Hillsboro, OR-WA","27-1019","Artists & Related Workers, All Other",110,53488,"27","Arts, Design, Entertainment, Sports, and Media"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","27-1019","Artists & Related Workers, All Other",53,59513,"27","Arts, Design, Entertainment, Sports, and Media"
"530003","Central WA Nonmetropolitan Area (NMA)","27-1019","Artists & Related Workers, All Other",10,38460,"27","Arts, Design, Entertainment, Sports, and Media"
"13380","Bellingham, WA","51-2099","Assemblers & Fabricators, All Other",20,41707,"51","Production"
"14740","Bremerton-Silverdale, WA","51-2099","Assemblers & Fabricators, All Other",44,33335,"51","Production"
"28420","Kennewick-Richland, WA","51-2099","Assemblers & Fabricators, All Other",34,33499,"51","Production"
"34580","Mount Vernon-Anacortes, WA","51-2099","Assemblers & Fabricators, All Other",17,42585,"51","Production"
"38900","Portland-Vancouver-Hillsboro, OR-WA","51-2099","Assemblers & Fabricators, All Other",3324,39104,"51","Production"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","51-2099","Assemblers & Fabricators, All Other",1761,30139,"51","Production"
"44060","Spokane-Spokane Valley, WA","51-2099","Assemblers & Fabricators, All Other",80,31120,"51","Production"
"47460","Walla Walla, WA","51-2099","Assemblers & Fabricators, All Other",50,32232,"51","Production"
"49420","Yakima, WA","51-2099","Assemblers & Fabricators, All Other",25,31885,"51","Production"
"530002","Southwestern WA Nonmetropolitan Area (NMA)","51-2099","Assemblers & Fabricators, All Other",37,32232,"51","Production"
"530004","Eastern WA Nonmetropolitan Area (NMA)","51-2099","Assemblers & Fabricators, All Other",97,40635,"51","Production"
"38900","Portland-Vancouver-Hillsboro, OR-WA","27-2021","Athletes & Sports Competitors",88,55680,"27","Arts, Design, Entertainment, Sports, and Media"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","27-2021","Athletes & Sports Competitors",113,111360,"27","Arts, Design, Entertainment, Sports, and Media"
"38900","Portland-Vancouver-Hillsboro, OR-WA","29-9091","Athletic Trainers",84,48617,"29","Healthcare Practitioners and Technical"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","29-9091","Athletic Trainers",187,52333,"29","Healthcare Practitioners and Technical"
"44060","Spokane-Spokane Valley, WA","29-9091","Athletic Trainers",22,43523,"29","Healthcare Practitioners and Technical"
"38900","Portland-Vancouver-Hillsboro, OR-WA","19-2021","Atmospheric & Space Scientists",51,104271,"19","Life, Physical, and Social Science"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","19-2021","Atmospheric & Space Scientists",187,87046,"19","Life, Physical, and Social Science"
"38900","Portland-Vancouver-Hillsboro, OR-WA","25-1051","Atmospheric/Earth/Marine/Space Science Teachers, Postsec",16,64333,"25","Education, Training, and Library"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","25-1051","Atmospheric/Earth/Marine/Space Science Teachers, Postsec",223,101831,"25","Education, Training, and Library"
"45104","Tacoma-Lakewood, WA Metropolitan Division","25-1051","Atmospheric/Earth/Marine/Space Science Teachers, Postsec",30,89305,"25","Education, Training, and Library"
