"MSA.code","MSA.name","SOC.code","SOC.title","EST.employment","ANNUAL.wage"
"13380","Bellingham, WA","33-3021","Detectives & Criminal Investigators",292.2,99963
"14740","Bremerton-Silverdale, WA","33-3021","Detectives & Criminal Investigators",31.6,108889
"28420","Kennewick-Richland, WA","33-3021","Detectives & Criminal Investigators",61.4,73154
"30300","Lewiston, ID-WA","33-3021","Detectives & Criminal Investigators",11,64639
"34580","Mount Vernon-Anacortes, WA","33-3021","Detectives & Criminal Investigators",13.8,84227
"36500","Olympia-Tumwater, WA","33-3021","Detectives & Criminal Investigators",196.5,58651
"38900","Portland-Vancouver-Hillsboro, OR-WA","33-3021","Detectives & Criminal Investigators",462.5,89537
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","33-3021","Detectives & Criminal Investigators",710.9,97272
"44060","Spokane-Spokane Valley, WA","33-3021","Detectives & Criminal Investigators",296,83333
"45104","Tacoma-Lakewood, WA Metropolitan Division","33-3021","Detectives & Criminal Investigators",292.3,77047
"48300","Wenatchee, WA","33-3021","Detectives & Criminal Investigators",33.8,63478
"49420","Yakima, WA","33-3021","Detectives & Criminal Investigators",68.8,71963
"530001","Northwestern WA Nonmetropolitan Area (NMA)","33-3021","Detectives & Criminal Investigators",50.6,85942
"530002","Southwestern WA Nonmetropolitan Area (NMA)","33-3021","Detectives & Criminal Investigators",31.4,70114
"530003","Central WA Nonmetropolitan Area (NMA)","33-3021","Detectives & Criminal Investigators",43,79255
"530004","Eastern WA Nonmetropolitan Area (NMA)","33-3021","Detectives & Criminal Investigators",37.9,79430
"53","Washington","29-2032","Diagnostic Medical Sonographers",1438.6,88069
"13380","Bellingham, WA","29-2032","Diagnostic Medical Sonographers",102.9,87796
"28420","Kennewick-Richland, WA","29-2032","Diagnostic Medical Sonographers",72.2,105395
"30300","Lewiston, ID-WA","29-2032","Diagnostic Medical Sonographers",17.2,75674
"31020","Longview, WA","29-2032","Diagnostic Medical Sonographers",NA,89193
"34580","Mount Vernon-Anacortes, WA","29-2032","Diagnostic Medical Sonographers",28.1,87138
"36500","Olympia-Tumwater, WA","29-2032","Diagnostic Medical Sonographers",43.6,81386
"38900","Portland-Vancouver-Hillsboro, OR-WA","29-2032","Diagnostic Medical Sonographers",483.6,87036
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","29-2032","Diagnostic Medical Sonographers",545.5,91239
"44060","Spokane-Spokane Valley, WA","29-2032","Diagnostic Medical Sonographers",173,82003
"45104","Tacoma-Lakewood, WA Metropolitan Division","29-2032","Diagnostic Medical Sonographers",120.6,84302
"47460","Walla Walla, WA","29-2032","Diagnostic Medical Sonographers",59,70034
"48300","Wenatchee, WA","29-2032","Diagnostic Medical Sonographers",40.1,86702
"49420","Yakima, WA","29-2032","Diagnostic Medical Sonographers",46.3,86489
"530001","Northwestern WA Nonmetropolitan Area (NMA)","29-2032","Diagnostic Medical Sonographers",16.4,83614
"530002","Southwestern WA Nonmetropolitan Area (NMA)","29-2032","Diagnostic Medical Sonographers",24.9,88535
"530003","Central WA Nonmetropolitan Area (NMA)","29-2032","Diagnostic Medical Sonographers",14.5,93223
"530004","Eastern WA Nonmetropolitan Area (NMA)","29-2032","Diagnostic Medical Sonographers",27.1,81700
"53","Washington","29-2051","Dietetic Technicians",539.7,35402
"38900","Portland-Vancouver-Hillsboro, OR-WA","29-2051","Dietetic Technicians",107.6,43574
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","29-2051","Dietetic Technicians",149.5,41397
"44060","Spokane-Spokane Valley, WA","29-2051","Dietetic Technicians",94.8,31230
"45104","Tacoma-Lakewood, WA Metropolitan Division","29-2051","Dietetic Technicians",53.7,37873
"53","Washington","29-1031","Dietitians & Nutritionists",1155.7,65447
"13380","Bellingham, WA","29-1031","Dietitians & Nutritionists",27.1,61730
"14740","Bremerton-Silverdale, WA","29-1031","Dietitians & Nutritionists",18.2,67320
"28420","Kennewick-Richland, WA","29-1031","Dietitians & Nutritionists",37.8,52627
"31020","Longview, WA","29-1031","Dietitians & Nutritionists",18.2,51776
"34580","Mount Vernon-Anacortes, WA","29-1031","Dietitians & Nutritionists",21.9,60768
"36500","Olympia-Tumwater, WA","29-1031","Dietitians & Nutritionists",20.2,64009
"38900","Portland-Vancouver-Hillsboro, OR-WA","29-1031","Dietitians & Nutritionists",413.5,71766
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","29-1031","Dietitians & Nutritionists",589,68495
"44060","Spokane-Spokane Valley, WA","29-1031","Dietitians & Nutritionists",104.9,59148
"45104","Tacoma-Lakewood, WA Metropolitan Division","29-1031","Dietitians & Nutritionists",135.7,70287
"47460","Walla Walla, WA","29-1031","Dietitians & Nutritionists",NA,70196
"48300","Wenatchee, WA","29-1031","Dietitians & Nutritionists",16,65710
"49420","Yakima, WA","29-1031","Dietitians & Nutritionists",37.7,61984
"530001","Northwestern WA Nonmetropolitan Area (NMA)","29-1031","Dietitians & Nutritionists",11.6,65467
"530002","Southwestern WA Nonmetropolitan Area (NMA)","29-1031","Dietitians & Nutritionists",20.4,56414
"530004","Eastern WA Nonmetropolitan Area (NMA)","29-1031","Dietitians & Nutritionists",23.6,36516
"53","Washington","35-9011","Dining Room & Cafeteria Attendants & Bartender Helpers",8237.1,26110
"13380","Bellingham, WA","35-9011","Dining Room & Cafeteria Attendants & Bartender Helpers",NA,23604
"14740","Bremerton-Silverdale, WA","35-9011","Dining Room & Cafeteria Attendants & Bartender Helpers",229.2,24703
"28420","Kennewick-Richland, WA","35-9011","Dining Room & Cafeteria Attendants & Bartender Helpers",294.3,23625
"31020","Longview, WA","35-9011","Dining Room & Cafeteria Attendants & Bartender Helpers",NA,25011
"34580","Mount Vernon-Anacortes, WA","35-9011","Dining Room & Cafeteria Attendants & Bartender Helpers",149.6,30712
"36500","Olympia-Tumwater, WA","35-9011","Dining Room & Cafeteria Attendants & Bartender Helpers",365.9,27579
"38900","Portland-Vancouver-Hillsboro, OR-WA","35-9011","Dining Room & Cafeteria Attendants & Bartender Helpers",2272.9,22772
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","35-9011","Dining Room & Cafeteria Attendants & Bartender Helpers",4064.3,27928
"44060","Spokane-Spokane Valley, WA","35-9011","Dining Room & Cafeteria Attendants & Bartender Helpers",669.5,23214
"45104","Tacoma-Lakewood, WA Metropolitan Division","35-9011","Dining Room & Cafeteria Attendants & Bartender Helpers",874.2,23768
"47460","Walla Walla, WA","35-9011","Dining Room & Cafeteria Attendants & Bartender Helpers",76.4,25319
"48300","Wenatchee, WA","35-9011","Dining Room & Cafeteria Attendants & Bartender Helpers",101.2,24303
"49420","Yakima, WA","35-9011","Dining Room & Cafeteria Attendants & Bartender Helpers",155.5,23234
"530001","Northwestern WA Nonmetropolitan Area (NMA)","35-9011","Dining Room & Cafeteria Attendants & Bartender Helpers",280.3,24169
"530002","Southwestern WA Nonmetropolitan Area (NMA)","35-9011","Dining Room & Cafeteria Attendants & Bartender Helpers",254.3,23121
"530004","Eastern WA Nonmetropolitan Area (NMA)","35-9011","Dining Room & Cafeteria Attendants & Bartender Helpers",66.8,NA
"53","Washington","21-2021","Directors, Religious Activities & Education",149.9,59432
"38900","Portland-Vancouver-Hillsboro, OR-WA","21-2021","Directors, Religious Activities & Education",889.8,NA
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","21-2021","Directors, Religious Activities & Education",94.6,65103
"53","Washington","35-9021","Dishwashers",12872.1,25011
"13380","Bellingham, WA","35-9021","Dishwashers",523.6,23286
"14740","Bremerton-Silverdale, WA","35-9021","Dishwashers",339.7,24128
"28420","Kennewick-Richland, WA","35-9021","Dishwashers",386.4,23491
"30300","Lewiston, ID-WA","35-9021","Dishwashers",NA,19968
"31020","Longview, WA","35-9021","Dishwashers",127.5,23111
"34580","Mount Vernon-Anacortes, WA","35-9021","Dishwashers",191.3,23851
"36500","Olympia-Tumwater, WA","35-9021","Dishwashers",302.8,23851
"38900","Portland-Vancouver-Hillsboro, OR-WA","35-9021","Dishwashers",3456.1,23645
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","35-9021","Dishwashers",6981.7,25936
"44060","Spokane-Spokane Valley, WA","35-9021","Dishwashers",861.6,23234
"45104","Tacoma-Lakewood, WA Metropolitan Division","35-9021","Dishwashers",1346.9,24097
"47460","Walla Walla, WA","35-9021","Dishwashers",67.8,22977
"48300","Wenatchee, WA","35-9021","Dishwashers",201.5,24303
"49420","Yakima, WA","35-9021","Dishwashers",306.5,23635
"530001","Northwestern WA Nonmetropolitan Area (NMA)","35-9021","Dishwashers",262.6,25669
"530002","Southwestern WA Nonmetropolitan Area (NMA)","35-9021","Dishwashers",202.6,25761
"530003","Central WA Nonmetropolitan Area (NMA)","35-9021","Dishwashers",104,23902
"530004","Eastern WA Nonmetropolitan Area (NMA)","35-9021","Dishwashers",103,22762
"53","Washington","43-5032","Dispatchers (Except Police, Fire & Ambulance)",4280.5,49952
"13380","Bellingham, WA","43-5032","Dispatchers (Except Police, Fire & Ambulance)",114.9,51330
"14740","Bremerton-Silverdale, WA","43-5032","Dispatchers (Except Police, Fire & Ambulance)",114.4,46378
"28420","Kennewick-Richland, WA","43-5032","Dispatchers (Except Police, Fire & Ambulance)",120.9,38240
"30300","Lewiston, ID-WA","43-5032","Dispatchers (Except Police, Fire & Ambulance)",36.9,51800
"31020","Longview, WA","43-5032","Dispatchers (Except Police, Fire & Ambulance)",60.7,48379
"34580","Mount Vernon-Anacortes, WA","43-5032","Dispatchers (Except Police, Fire & Ambulance)",44.2,47307
"36500","Olympia-Tumwater, WA","43-5032","Dispatchers (Except Police, Fire & Ambulance)",74.5,47430
"38900","Portland-Vancouver-Hillsboro, OR-WA","43-5032","Dispatchers (Except Police, Fire & Ambulance)",2042.4,41507
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","43-5032","Dispatchers (Except Police, Fire & Ambulance)",2204.7,54782
"44060","Spokane-Spokane Valley, WA","43-5032","Dispatchers (Except Police, Fire & Ambulance)",401.8,44213
"45104","Tacoma-Lakewood, WA Metropolitan Division","43-5032","Dispatchers (Except Police, Fire & Ambulance)",552.5,47256
"48300","Wenatchee, WA","43-5032","Dispatchers (Except Police, Fire & Ambulance)",49.6,38189
"49420","Yakima, WA","43-5032","Dispatchers (Except Police, Fire & Ambulance)",111.7,37883
"530001","Northwestern WA Nonmetropolitan Area (NMA)","43-5032","Dispatchers (Except Police, Fire & Ambulance)",53,41497
"530002","Southwestern WA Nonmetropolitan Area (NMA)","43-5032","Dispatchers (Except Police, Fire & Ambulance)",61.3,46164
"530003","Central WA Nonmetropolitan Area (NMA)","43-5032","Dispatchers (Except Police, Fire & Ambulance)",17.6,48155
"530004","Eastern WA Nonmetropolitan Area (NMA)","43-5032","Dispatchers (Except Police, Fire & Ambulance)",27.9,37321
"38900","Portland-Vancouver-Hillsboro, OR-WA","41-9091","Door To Door Sales Workers, News/Street Vendors",88.4,29720
"53","Washington","17-3019","Drafters, All Other",464.8,60981
"28420","Kennewick-Richland, WA","17-3019","Drafters, All Other",24.5,68728
"38900","Portland-Vancouver-Hillsboro, OR-WA","17-3019","Drafters, All Other",681.9,54186
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","17-3019","Drafters, All Other",299.6,64697
"45104","Tacoma-Lakewood, WA Metropolitan Division","17-3019","Drafters, All Other",26.4,52009
"53","Washington","51-4032","Drilling/Boring Machine Tool Setters/Oprs/Tenders",70.3,36745
"38900","Portland-Vancouver-Hillsboro, OR-WA","51-4032","Drilling/Boring Machine Tool Setters/Oprs/Tenders",170.2,39584
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","51-4032","Drilling/Boring Machine Tool Setters/Oprs/Tenders",51.6,37787
"53","Washington","53-3031","Driver/Sales Workers",7779.3,31301
"13380","Bellingham, WA","53-3031","Driver/Sales Workers",180,29401
"14740","Bremerton-Silverdale, WA","53-3031","Driver/Sales Workers",216,38489
"28420","Kennewick-Richland, WA","53-3031","Driver/Sales Workers",548.2,25827
"30300","Lewiston, ID-WA","53-3031","Driver/Sales Workers",86.6,41221
"31020","Longview, WA","53-3031","Driver/Sales Workers",27.3,24482
"34580","Mount Vernon-Anacortes, WA","53-3031","Driver/Sales Workers",59.6,35306
"36500","Olympia-Tumwater, WA","53-3031","Driver/Sales Workers",319,29935
"38900","Portland-Vancouver-Hillsboro, OR-WA","53-3031","Driver/Sales Workers",3555.1,31526
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","53-3031","Driver/Sales Workers",3386.4,32882
"44060","Spokane-Spokane Valley, WA","53-3031","Driver/Sales Workers",558.8,29586
"45104","Tacoma-Lakewood, WA Metropolitan Division","53-3031","Driver/Sales Workers",1224.6,31188
"48300","Wenatchee, WA","53-3031","Driver/Sales Workers",102.1,25560
"49420","Yakima, WA","53-3031","Driver/Sales Workers",219.8,28117
"530001","Northwestern WA Nonmetropolitan Area (NMA)","53-3031","Driver/Sales Workers",123.5,35316
"530002","Southwestern WA Nonmetropolitan Area (NMA)","53-3031","Driver/Sales Workers",248.3,28815
"530003","Central WA Nonmetropolitan Area (NMA)","53-3031","Driver/Sales Workers",NA,32646
"530004","Eastern WA Nonmetropolitan Area (NMA)","53-3031","Driver/Sales Workers",182.3,30962
"53","Washington","47-2081","Drywall & Ceiling Tile Installers",3967.6,59344
"13380","Bellingham, WA","47-2081","Drywall & Ceiling Tile Installers",109.1,58854
"14740","Bremerton-Silverdale, WA","47-2081","Drywall & Ceiling Tile Installers",57.2,56184
"28420","Kennewick-Richland, WA","47-2081","Drywall & Ceiling Tile Installers",NA,50192
"31020","Longview, WA","47-2081","Drywall & Ceiling Tile Installers",14.6,49784
"36500","Olympia-Tumwater, WA","47-2081","Drywall & Ceiling Tile Installers",119.3,44464
"38900","Portland-Vancouver-Hillsboro, OR-WA","47-2081","Drywall & Ceiling Tile Installers",716.1,51670
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","47-2081","Drywall & Ceiling Tile Installers",2377.5,63237
"44060","Spokane-Spokane Valley, WA","47-2081","Drywall & Ceiling Tile Installers",186.3,50324
"45104","Tacoma-Lakewood, WA Metropolitan Division","47-2081","Drywall & Ceiling Tile Installers",504.7,54829
"48300","Wenatchee, WA","47-2081","Drywall & Ceiling Tile Installers",54.3,46543
"49420","Yakima, WA","47-2081","Drywall & Ceiling Tile Installers",33.6,43190
"530002","Southwestern WA Nonmetropolitan Area (NMA)","47-2081","Drywall & Ceiling Tile Installers",NA,53606
"530004","Eastern WA Nonmetropolitan Area (NMA)","47-2081","Drywall & Ceiling Tile Installers",42.2,52607
"53","Washington","47-5021","Earth Drillers, Except Oil & Gas",295.2,61514
"38900","Portland-Vancouver-Hillsboro, OR-WA","47-5021","Earth Drillers, Except Oil & Gas",73.1,63736
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","47-5021","Earth Drillers, Except Oil & Gas",56.1,61942
"44060","Spokane-Spokane Valley, WA","47-5021","Earth Drillers, Except Oil & Gas",50.7,42956
"53","Washington","25-1063","Economics Teachers, Postsecondary",260.6,89932
"13380","Bellingham, WA","25-1063","Economics Teachers, Postsecondary",27.9,95684
"38900","Portland-Vancouver-Hillsboro, OR-WA","25-1063","Economics Teachers, Postsecondary",41.1,94084
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","25-1063","Economics Teachers, Postsecondary",91.4,99451
"45104","Tacoma-Lakewood, WA Metropolitan Division","25-1063","Economics Teachers, Postsecondary",28.5,94631
"53","Washington","19-3011","Economists",305.2,91492
"38900","Portland-Vancouver-Hillsboro, OR-WA","19-3011","Economists",105.8,88798
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","19-3011","Economists",116.7,102479
"44060","Spokane-Spokane Valley, WA","19-3011","Economists",13.3,75695
"45104","Tacoma-Lakewood, WA Metropolitan Division","19-3011","Economists",18.2,81092
"53","Washington","27-3041","Editors",1748.8,61892
"13380","Bellingham, WA","27-3041","Editors",90.1,57224
"14740","Bremerton-Silverdale, WA","27-3041","Editors",47.3,51695
"30300","Lewiston, ID-WA","27-3041","Editors",NA,53720
"34580","Mount Vernon-Anacortes, WA","27-3041","Editors",15.8,60870
"36500","Olympia-Tumwater, WA","27-3041","Editors",25.2,55888
"38900","Portland-Vancouver-Hillsboro, OR-WA","27-3041","Editors",526.6,50460
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","27-3041","Editors",1226.4,63594
"44060","Spokane-Spokane Valley, WA","27-3041","Editors",108.3,64616
"45104","Tacoma-Lakewood, WA Metropolitan Division","27-3041","Editors",50.6,66065
"49420","Yakima, WA","27-3041","Editors",18.6,46936
"530001","Northwestern WA Nonmetropolitan Area (NMA)","27-3041","Editors",23.1,62723
"530002","Southwestern WA Nonmetropolitan Area (NMA)","27-3041","Editors",18.3,48556
"53","Washington","11-9031","Educ Administrators, Preschool/Childcare Center/Program",1147.7,48562
"13380","Bellingham, WA","11-9031","Educ Administrators, Preschool/Childcare Center/Program",25.2,46797
"14740","Bremerton-Silverdale, WA","11-9031","Educ Administrators, Preschool/Childcare Center/Program",17.1,36888
"28420","Kennewick-Richland, WA","11-9031","Educ Administrators, Preschool/Childcare Center/Program",27.1,42715
"30300","Lewiston, ID-WA","11-9031","Educ Administrators, Preschool/Childcare Center/Program",24.2,36827
"31020","Longview, WA","11-9031","Educ Administrators, Preschool/Childcare Center/Program",25,43286
"34580","Mount Vernon-Anacortes, WA","11-9031","Educ Administrators, Preschool/Childcare Center/Program",18.4,41103
"36500","Olympia-Tumwater, WA","11-9031","Educ Administrators, Preschool/Childcare Center/Program",33.7,36480
"38900","Portland-Vancouver-Hillsboro, OR-WA","11-9031","Educ Administrators, Preschool/Childcare Center/Program",470.4,44297
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","11-9031","Educ Administrators, Preschool/Childcare Center/Program",498.1,51052
"44060","Spokane-Spokane Valley, WA","11-9031","Educ Administrators, Preschool/Childcare Center/Program",NA,51011
"45104","Tacoma-Lakewood, WA Metropolitan Division","11-9031","Educ Administrators, Preschool/Childcare Center/Program",121,41582
"48300","Wenatchee, WA","11-9031","Educ Administrators, Preschool/Childcare Center/Program",NA,37439
"49420","Yakima, WA","11-9031","Educ Administrators, Preschool/Childcare Center/Program",42.6,NA
"530001","Northwestern WA Nonmetropolitan Area (NMA)","11-9031","Educ Administrators, Preschool/Childcare Center/Program",38.1,48878
"530002","Southwestern WA Nonmetropolitan Area (NMA)","11-9031","Educ Administrators, Preschool/Childcare Center/Program",NA,45348
"530004","Eastern WA Nonmetropolitan Area (NMA)","11-9031","Educ Administrators, Preschool/Childcare Center/Program",51.6,48542
"53","Washington","11-9039","Education Administrators, All Other",721.9,74460
"13380","Bellingham, WA","11-9039","Education Administrators, All Other",NA,72593
"14740","Bremerton-Silverdale, WA","11-9039","Education Administrators, All Other",20.6,85124
"28420","Kennewick-Richland, WA","11-9039","Education Administrators, All Other",13.6,73052
"34580","Mount Vernon-Anacortes, WA","11-9039","Education Administrators, All Other",10.2,52133
"36500","Olympia-Tumwater, WA","11-9039","Education Administrators, All Other",13.6,61991
"38900","Portland-Vancouver-Hillsboro, OR-WA","11-9039","Education Administrators, All Other",279.3,63940
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","11-9039","Education Administrators, All Other",505.7,76583
"44060","Spokane-Spokane Valley, WA","11-9039","Education Administrators, All Other",NA,74205
"45104","Tacoma-Lakewood, WA Metropolitan Division","11-9039","Education Administrators, All Other",50,61858
"530001","Northwestern WA Nonmetropolitan Area (NMA)","11-9039","Education Administrators, All Other",NA,61072
"53","Washington","11-9032","Education Administrators, Elementary & Secondary School",4785.5,110522
"13380","Bellingham, WA","11-9032","Education Administrators, Elementary & Secondary School",127.6,108471
"14740","Bremerton-Silverdale, WA","11-9032","Education Administrators, Elementary & Secondary School",146.2,114900
"28420","Kennewick-Richland, WA","11-9032","Education Administrators, Elementary & Secondary School",234,101257
"30300","Lewiston, ID-WA","11-9032","Education Administrators, Elementary & Secondary School",37.3,89726
"31020","Longview, WA","11-9032","Education Administrators, Elementary & Secondary School",69.1,104338
"34580","Mount Vernon-Anacortes, WA","11-9032","Education Administrators, Elementary & Secondary School",90.8,110808
"36500","Olympia-Tumwater, WA","11-9032","Education Administrators, Elementary & Secondary School",212,109543
"38900","Portland-Vancouver-Hillsboro, OR-WA","11-9032","Education Administrators, Elementary & Secondary School",1958,100940
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","11-9032","Education Administrators, Elementary & Secondary School",1786.8,116706
"44060","Spokane-Spokane Valley, WA","11-9032","Education Administrators, Elementary & Secondary School",330,107879
"45104","Tacoma-Lakewood, WA Metropolitan Division","11-9032","Education Administrators, Elementary & Secondary School",568.5,116532
"47460","Walla Walla, WA","11-9032","Education Administrators, Elementary & Secondary School",47.9,94604
"48300","Wenatchee, WA","11-9032","Education Administrators, Elementary & Secondary School",87.9,109481
"49420","Yakima, WA","11-9032","Education Administrators, Elementary & Secondary School",241.5,102410
"530001","Northwestern WA Nonmetropolitan Area (NMA)","11-9032","Education Administrators, Elementary & Secondary School",103.7,95440
"530002","Southwestern WA Nonmetropolitan Area (NMA)","11-9032","Education Administrators, Elementary & Secondary School",153.7,96920
"530003","Central WA Nonmetropolitan Area (NMA)","11-9032","Education Administrators, Elementary & Secondary School",69.6,90930
"530004","Eastern WA Nonmetropolitan Area (NMA)","11-9032","Education Administrators, Elementary & Secondary School",164.4,95512
"53","Washington","11-9033","Education Administrators, Postsecondary",2115.5,102042
"13380","Bellingham, WA","11-9033","Education Administrators, Postsecondary",116.3,98971
"36500","Olympia-Tumwater, WA","11-9033","Education Administrators, Postsecondary",64.1,80328
"38900","Portland-Vancouver-Hillsboro, OR-WA","11-9033","Education Administrators, Postsecondary",855,102298
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","11-9033","Education Administrators, Postsecondary",1130.8,111818
"45104","Tacoma-Lakewood, WA Metropolitan Division","11-9033","Education Administrators, Postsecondary",146.4,96461
"47460","Walla Walla, WA","11-9033","Education Administrators, Postsecondary",55.9,NA
"530001","Northwestern WA Nonmetropolitan Area (NMA)","11-9033","Education Administrators, Postsecondary",22.3,78277
"530002","Southwestern WA Nonmetropolitan Area (NMA)","11-9033","Education Administrators, Postsecondary",25.5,76715
"53","Washington","25-1081","Education Teachers, Postsecondary",1063.5,79057
"13380","Bellingham, WA","25-1081","Education Teachers, Postsecondary",NA,59817
"38900","Portland-Vancouver-Hillsboro, OR-WA","25-1081","Education Teachers, Postsecondary",330.1,69538
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","25-1081","Education Teachers, Postsecondary",417.6,100697
"44060","Spokane-Spokane Valley, WA","25-1081","Education Teachers, Postsecondary",90.5,61639
"53","Washington","25-9099","Education, Training & Library Workers, All Other",2573,54834
"13380","Bellingham, WA","25-9099","Education, Training & Library Workers, All Other",95.7,50470
"14740","Bremerton-Silverdale, WA","25-9099","Education, Training & Library Workers, All Other",69.7,55999
"28420","Kennewick-Richland, WA","25-9099","Education, Training & Library Workers, All Other",46,57295
"31020","Longview, WA","25-9099","Education, Training & Library Workers, All Other",16.3,41923
"36500","Olympia-Tumwater, WA","25-9099","Education, Training & Library Workers, All Other",175.7,42207
"38900","Portland-Vancouver-Hillsboro, OR-WA","25-9099","Education, Training & Library Workers, All Other",2723.4,40911
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","25-9099","Education, Training & Library Workers, All Other",1255.3,58784
"44060","Spokane-Spokane Valley, WA","25-9099","Education, Training & Library Workers, All Other",197,57589
"45104","Tacoma-Lakewood, WA Metropolitan Division","25-9099","Education, Training & Library Workers, All Other",286.8,53295
"48300","Wenatchee, WA","25-9099","Education, Training & Library Workers, All Other",10.9,54490
"49420","Yakima, WA","25-9099","Education, Training & Library Workers, All Other",68.8,59330
"530001","Northwestern WA Nonmetropolitan Area (NMA)","25-9099","Education, Training & Library Workers, All Other",38.8,44192
"530002","Southwestern WA Nonmetropolitan Area (NMA)","25-9099","Education, Training & Library Workers, All Other",69.7,48829
"530003","Central WA Nonmetropolitan Area (NMA)","25-9099","Education, Training & Library Workers, All Other",24,58267
"530004","Eastern WA Nonmetropolitan Area (NMA)","25-9099","Education, Training & Library Workers, All Other",NA,43999
"53","Washington","21-1012","Educational, Guidance, Vocational & School Counselors",4737,60414
"13380","Bellingham, WA","21-1012","Educational, Guidance, Vocational & School Counselors",153.9,54804
"14740","Bremerton-Silverdale, WA","21-1012","Educational, Guidance, Vocational & School Counselors",102,67796
"28420","Kennewick-Richland, WA","21-1012","Educational, Guidance, Vocational & School Counselors",185.2,63837
"30300","Lewiston, ID-WA","21-1012","Educational, Guidance, Vocational & School Counselors",39.6,45275
"31020","Longview, WA","21-1012","Educational, Guidance, Vocational & School Counselors",49.5,57113
"34580","Mount Vernon-Anacortes, WA","21-1012","Educational, Guidance, Vocational & School Counselors",71,61092
"36500","Olympia-Tumwater, WA","21-1012","Educational, Guidance, Vocational & School Counselors",277.4,57680
"38900","Portland-Vancouver-Hillsboro, OR-WA","21-1012","Educational, Guidance, Vocational & School Counselors",1430.1,59725
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","21-1012","Educational, Guidance, Vocational & School Counselors",1990.6,60100
"44060","Spokane-Spokane Valley, WA","21-1012","Educational, Guidance, Vocational & School Counselors",414.3,63239
"45104","Tacoma-Lakewood, WA Metropolitan Division","21-1012","Educational, Guidance, Vocational & School Counselors",485.6,60617
"47460","Walla Walla, WA","21-1012","Educational, Guidance, Vocational & School Counselors",34.8,52769
"48300","Wenatchee, WA","21-1012","Educational, Guidance, Vocational & School Counselors",62.5,58287
"49420","Yakima, WA","21-1012","Educational, Guidance, Vocational & School Counselors",183.2,63057
"530001","Northwestern WA Nonmetropolitan Area (NMA)","21-1012","Educational, Guidance, Vocational & School Counselors",75.6,63330
"530002","Southwestern WA Nonmetropolitan Area (NMA)","21-1012","Educational, Guidance, Vocational & School Counselors",101,60627
"530003","Central WA Nonmetropolitan Area (NMA)","21-1012","Educational, Guidance, Vocational & School Counselors",78.8,52414
"530004","Eastern WA Nonmetropolitan Area (NMA)","21-1012","Educational, Guidance, Vocational & School Counselors",222.4,61589
"53","Washington","49-2092","Electric Motor, Power Tool & Related Repairers",291.4,52451
"38900","Portland-Vancouver-Hillsboro, OR-WA","49-2092","Electric Motor, Power Tool & Related Repairers",NA,30862
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","49-2092","Electric Motor, Power Tool & Related Repairers",126.9,NA
"45104","Tacoma-Lakewood, WA Metropolitan Division","49-2092","Electric Motor, Power Tool & Related Repairers",NA,53201
"53","Washington","51-2022","Electrical & Electronic Equipment Assemblers",4365.5,38981
"13380","Bellingham, WA","51-2022","Electrical & Electronic Equipment Assemblers",40.9,36704
"28420","Kennewick-Richland, WA","51-2022","Electrical & Electronic Equipment Assemblers",46.5,35683
"36500","Olympia-Tumwater, WA","51-2022","Electrical & Electronic Equipment Assemblers",NA,33070
"38900","Portland-Vancouver-Hillsboro, OR-WA","51-2022","Electrical & Electronic Equipment Assemblers",2902,35061
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","51-2022","Electrical & Electronic Equipment Assemblers",3234.8,40166
"44060","Spokane-Spokane Valley, WA","51-2022","Electrical & Electronic Equipment Assemblers",196.9,30242
"45104","Tacoma-Lakewood, WA Metropolitan Division","51-2022","Electrical & Electronic Equipment Assemblers",NA,40717
"49420","Yakima, WA","51-2022","Electrical & Electronic Equipment Assemblers",NA,38757
"530002","Southwestern WA Nonmetropolitan Area (NMA)","51-2022","Electrical & Electronic Equipment Assemblers",12.9,32232
"53","Washington","17-3012","Electrical & Electronics Drafters",967.4,82479
"28420","Kennewick-Richland, WA","17-3012","Electrical & Electronics Drafters",32.8,77720
