"rank_data","s_name","s_district","n_rating","students_num","teacher_ratio","ZCTA5","MSA.code","MSA.name"
281,"Rochester High School","Rochester School District","C+",649,"20:1","98579","36500","Olympia-Tumwater,WA"
282,"Highland High School","Highland School District","C+",381,"16:1","98923","49420","Yakima,WA"
283,"Rainier Beach High School","Seattle Public Schools","C+",598,"17:1","98118","42644","Seattle-Bellevue-Everett,WA"
284,"South Kitsap High School","South Kitsap School District","C+",2000,"22:1","98366","14740","Bremerton-Silverdale,WA"
285,"Chiawana High School","Pasco School District","C+",2393,"20:1","99301","28420","Kennewick-Richland,WA"
286,"Kelso High School","Kelso School District","C+",1519,"21:1","98626","31020","Longview,WA"
287,"Fort Vancouver High School","Vancouver School District","C+",1499,"20:1","98661","38900","Portland-Vancouver-Hillsboro,OR-WA"
288,"Highline High School","Highline School District","C+",1311,"20:1","98148","42644","Seattle-Bellevue-Everett,WA"
289,"White Swan High School","Mount Adams School District","C+",252,"8:1","98952","49420","Yakima,WA"
290,"Moses Lake High School","Moses Lake School District","C+",2383,"24:1","98837","34180","MosesLake,WA"
292,"Waterville High School","Waterville School District","C+",177,"14:1","98858","48300","Wenatchee,WA"
293,"Olympia Regional Learning Academy","Olympia School District","C+",303,"44:1","98501","36500","Olympia-Tumwater,WA"
294,"Wapato High School","Wapato School District","C+",796,"18:1","98951","49420","Yakima,WA"
295,"Global Connections High School","Highline School District","C+",511,"17:1","98188","42644","Seattle-Bellevue-Everett,WA"
296,"Columbia High School","Columbia School District (Walla Walla)","C+",287,"19:1","98501","36500","Olympia-Tumwater,WA"
297,"Burlington Edison High School","Burlington-Edison School District","C+",1127,"20:1","98233","34580","MountVernon-Anacortes,WA"
298,"St. John & Endicott High School","St. John School District","C+",76,"13:1","98501","36500","Olympia-Tumwater,WA"
299,"Columbia School","Columbia School District (Stevens)","C+",149,"8:1","98501","36500","Olympia-Tumwater,WA"
301,"Eisenhower High School","Yakima School District","C+",2033,"21:1","98908","49420","Yakima,WA"
302,"Eatonville High School","Eatonville School District","C+",652,"20:1","98328","45104","Tacoma-Lakewood,WA"
304,"Deer Park High School","Deer Park School District","C+",622,"17:1","99006","44060","Spokane-SpokaneValley,WA"
305,"Washougal High School","Washougal School District","C+",941,"20:1","98671","38900","Portland-Vancouver-Hillsboro,OR-WA"
307,"Kalama Junior/Senior High School","Kalama School District","C+",503,"20:1","98501","36500","Olympia-Tumwater,WA"
308,"Royal High School","Royal School District","C",451,"19:1","99357","34180","MosesLake,WA"
309,"North Beach Senior High School","North Beach School District","C",219,"21:1","98569","10140","Aberdeen,WA"
310,"Waitsburg High School","Waitsburg School District","C",105,"12:1","99361","47460","WallaWalla,WA"
311,"Tenino High School","Tenino School District","C",358,"21:1","98589","36500","Olympia-Tumwater,WA"
312,"Foss High School","Tacoma School District","C",887,"21:1","98501","36500","Olympia-Tumwater,WA"
313,"Kiona-Benton City High School","Kiona-Benton City School District","C",481,"20:1","99320","28420","Kennewick-Richland,WA"
314,"Heritage High School","Evergreen Public Schools","C",1928,"21:1","98501","36500","Olympia-Tumwater,WA"
315,"Battle Ground High School","Battle Ground School District","C",2179,"21:1","98604","38900","Portland-Vancouver-Hillsboro,OR-WA"
316,"Hudson's Bay High School","Vancouver School District","C",1377,"22:1","98663","38900","Portland-Vancouver-Hillsboro,OR-WA"
317,"Naselle-Grays River Valley Junior/Senior High School","Naselle-Grays River Valley School District","C",153,"30:1","98501","36500","Olympia-Tumwater,WA"
318,"Lake Quinault High School","Lake Quinault School District","C",94,"10:1","98526","10140","Aberdeen,WA"
319,"Granite Falls High School","Granite Falls School District","C",609,"21:1","98252","42644","Seattle-Bellevue-Everett,WA"
321,"Hoquiam High School","Hoquiam School District","C",490,"21:1","98550","10140","Aberdeen,WA"
322,"Clover Park High School","Clover Park School District","C",1222,"19:1","98499","45104","Tacoma-Lakewood,WA"
323,"Oroville Middle/High School","Oroville School District","C",253,"14:1","98501","36500","Olympia-Tumwater,WA"
324,"School for the Entrepreneur","Marysville School District","C",395,"23:1","98270","42644","Seattle-Bellevue-Everett,WA"
325,"Almira Coulee Hartline High School","Coulee-Hartline School District","C",80,"10:1","99115","34180","MosesLake,WA"
325,"Almira Coulee Hartline High School","Coulee-Hartline School District","C",80,"10:1","99115","48300","Wenatchee,WA"
326,"Connell High School","North Franklin School District","C",589,"20:1","99326","28420","Kennewick-Richland,WA"
327,"Hayes Freedom High School","Camas School District","C",136,"18:1","98607","38900","Portland-Vancouver-Hillsboro,OR-WA"
328,"Onalaska High School","Onalaska School District","C",241,"18:1","98570","16500","Centralia,WA"
329,"Quilcene School","Quilcene School District","C",202,"12:1","98501","36500","Olympia-Tumwater,WA"
330,"Academy of Construction & Engineering","Marysville School District","C",325,"20:1","98501","36500","Olympia-Tumwater,WA"
331,"Warden High School","Warden School District","C",322,"24:1","98857","34180","MosesLake,WA"
332,"Yakima Online School","Yakima School District","C",123,"61:1","98501","36500","Olympia-Tumwater,WA"
333,"Prescott Junior/Senior High School","Prescott School District","C",145,"15:1","98501","36500","Olympia-Tumwater,WA"
334,"Othello High School","Othello School District","C",1048,"19:1","99344","28420","Kennewick-Richland,WA"
334,"Othello High School","Othello School District","C",1048,"19:1","99344","34180","MosesLake,WA"
336,"Orting High School","Orting School District","C",740,"22:1","98360","45104","Tacoma-Lakewood,WA"
337,"Shelton High School","Shelton School District","C",1064,"20:1","98584","43220","Shelton,WA"
338,"Elma High School","Elma School District","C",547,"20:1","98541","10140","Aberdeen,WA"
338,"Elma High School","Elma School District","C",547,"20:1","98541","43220","Shelton,WA"
339,"Davis High School","Yakima School District","C",2099,"21:1","98902","49420","Yakima,WA"
340,"Sunnyside High School","Sunnyside School District","C",1858,"22:1","98944","28420","Kennewick-Richland,WA"
340,"Sunnyside High School","Sunnyside School District","C",1858,"22:1","98944","49420","Yakima,WA"
341,"Insight School of Washington","Quillayute Valley School District","C",1910,"40:1","98331","38820","PortAngeles,WA"
342,"Oakville High School","Oakville School District","C",106,"14:1","98568","10140","Aberdeen,WA"
342,"Oakville High School","Oakville School District","C",106,"14:1","98568","16500","Centralia,WA"
343,"Wahluke High School","Wahluke School District","C",557,"17:1","99349","34180","MosesLake,WA"
344,"Riverside High School","Riverside School District","C",464,"18:1","99003","44060","Spokane-SpokaneValley,WA"
345,"Naches Valley High School","Naches Valley School District","C",475,"20:1","98937","49420","Yakima,WA"
346,"Challenger High School","Bethel School District","C",317,"22:1","98387","45104","Tacoma-Lakewood,WA"
347,"Bethel High School","Bethel School District","C",1629,"23:1","98387","45104","Tacoma-Lakewood,WA"
348,"Tekoa High School","Tekoa School District","C",89,"10:1","99033","39420","Pullman,WA"
350,"Soap Lake Middle/High School","Soap Lake School District","C",219,"16:1","98501","36500","Olympia-Tumwater,WA"
351,"Pasco Senior High School","Pasco School District","C",1989,"19:1","99301","28420","Kennewick-Richland,WA"
352,"Concrete High School","Concrete School District","C",246,"17:1","98237","34580","MountVernon-Anacortes,WA"
353,"Three Rivers HomeLink","Richland School District","C",475,"48:1","98501","36500","Olympia-Tumwater,WA"
354,"Sequoia High School","Everett School District","C",246,"12:1","98201","42644","Seattle-Bellevue-Everett,WA"
355,"Neah Bay Junior/Senior High School","Cape Flattery School District","C-",173,"11:1","98501","36500","Olympia-Tumwater,WA"
356,"Quincy High School","Quincy School District","C-",833,"20:1","98848","34180","MosesLake,WA"
356,"Quincy High School","Quincy School District","C-",833,"20:1","98848","48300","Wenatchee,WA"
357,"Marysville Arts & Technology High School","Marysville School District","C-",322,"20:1","98501","36500","Olympia-Tumwater,WA"
358,"Castle Rock High School","Castle Rock School District","C-",387,"19:1","98611","31020","Longview,WA"
359,"Choice Alternative School","Shelton School District","C-",207,"18:1","98584","43220","Shelton,WA"
360,"Toppenish High School","Toppenish School District","C-",891,"21:1","98948","49420","Yakima,WA"
361,"Brewster High School","Brewster School District","C-",247,"15:1","98812","48300","Wenatchee,WA"
362,"Sultan Senior High School","Sultan School District","C-",550,"21:1","98294","42644","Seattle-Bellevue-Everett,WA"
363,"ACES High School","Mukilteo School District","C-",199,"17:1","98204","42644","Seattle-Bellevue-Everett,WA"
364,"Mary M. Knight High School","Mary M. Knight School District","C-",98,"10:1","98501","36500","Olympia-Tumwater,WA"
365,"Cusick Junior/Senior High School","Cusick School District","C-",150,"12:1","98501","36500","Olympia-Tumwater,WA"
366,"Lewis & Clark High School","Vancouver School District","C-",107,"17:1","98501","36500","Olympia-Tumwater,WA"
367,"Mabton Junior/Senior High School","Mabton School District","C-",407,"17:1","98501","36500","Olympia-Tumwater,WA"
368,"Crossroads High School","Granite Falls School District","C-",168,"17:1","98252","42644","Seattle-Bellevue-Everett,WA"
369,"Yelm Extension School","Yelm School District","C-",125,"22:1","98597","36500","Olympia-Tumwater,WA"
370,"Grandview High School","Grandview School District","D+",836,"23:1","98930","28420","Kennewick-Richland,WA"
370,"Grandview High School","Grandview School District","D+",836,"23:1","98930","49420","Yakima,WA"
371,"Granger High School","Granger School District","D+",431,"19:1","98932","49420","Yakima,WA"
372,"Compass High School","Grandview School District","D+",100,"16:1","98930","28420","Kennewick-Richland,WA"
372,"Compass High School","Grandview School District","D+",100,"16:1","98930","49420","Yakima,WA"
373,"Stanton Academy","Yakima School District","D+",383,"20:1","98902","49420","Yakima,WA"
374,"State Street High School","Sedro-Woolley School District","D+",271,"31:1","98284","13380","Bellingham,WA"
374,"State Street High School","Sedro-Woolley School District","D+",271,"31:1","98284","34580","MountVernon-Anacortes,WA"
375,"Summit View High School","Battle Ground School District","D+",409,"31:1","98604","38900","Portland-Vancouver-Hillsboro,OR-WA"
376,"New Horizons High School","Pasco School District","D+",267,"20:1","99301","28420","Kennewick-Richland,WA"
377,"Cedarcrest Junior High School","Bethel School District","NG",627,"19:1","98501","36500","Olympia-Tumwater,WA"
378,"Bryant Center","Spokane School District","NG",619,"40:1","99201","44060","Spokane-SpokaneValley,WA"
379,"Iq Academy Washington","Evergreen Public Schools","NG",610,"35:1","98501","36500","Olympia-Tumwater,WA"
380,"Centralia Middle School","Centralia School District","NG",540,"19:1","98531","16500","Centralia,WA"
380,"Centralia Middle School","Centralia School District","NG",540,"19:1","98531","36500","Olympia-Tumwater,WA"
381,"Oasis K-12","Orcas Island School District","NG",472,"28:1","98501","36500","Olympia-Tumwater,WA"
384,"Northwest Allprep","Toppenish School District","NG",454,"70:1","98501","36500","Olympia-Tumwater,WA"
385,"Washington Academy of Arts & Technology","East Valley School District (Spokane)","NG",394,"45:1","98501","36500","Olympia-Tumwater,WA"
386,"Mead Education Partnership Program","Mead School District","NG",392,"35:1","98501","36500","Olympia-Tumwater,WA"
387,"West Valley High School Freshman Campus","West Valley School District (Yakima)","NG",388,"21:1","98908","49420","Yakima,WA"
388,"Spokane Area Professional-Technical Skills Center","Spokane School District","NG",383,"22:1","99207","44060","Spokane-SpokaneValley,WA"
389,"Meridian Parent Partnership Program","Meridian School District","NG",348,"30:1","98247","13380","Bellingham,WA"
390,"Bellevue Big Picture School","Bellevue School District","NG",343,"14:1","98007","42644","Seattle-Bellevue-Everett,WA"
391,"GRAVITY High School","Tumwater","NG",326,"—","98501","36500","Olympia-Tumwater,WA"
392,"Skagit Family Learning Center","Mount Vernon School District","NG",321,"86:1","98501","36500","Olympia-Tumwater,WA"
393,"Contract Based Education (CBE) Alternative Programs","West Valley School District (Spokane)","NG",318,"26:1","98501","36500","Olympia-Tumwater,WA"
394,"Libby Center","Spokane School District","NG",314,"17:1","99202","44060","Spokane-SpokaneValley,WA"
395,"Secondary Learning Center","Renton School District","NG",311,"18:1","98178","42644","Seattle-Bellevue-Everett,WA"
396,"Edmonds Career Access Program","Edmonds School District","NG",305,"—","98036","42644","Seattle-Bellevue-Everett,WA"
397,"Shoreline-Monroe High School","Monroe School District","NG",298,"—","98272","42644","Seattle-Bellevue-Everett,WA"
398,"Scriber Lake High School","Edmonds School District","NG",287,"22:1","98020","42644","Seattle-Bellevue-Everett,WA"
399,"Home Connection Parent Partnership Program","Oak Harbor School District","NG",283,"66:1","98501","36500","Olympia-Tumwater,WA"
400,"Kennewick Mid-Columbia Parent Partnership","Kennewick School District","NG",282,"39:1","98501","36500","Olympia-Tumwater,WA"
401,"Bates Technical High School","Tacoma","NG",268,"32:1","98501","36500","Olympia-Tumwater,WA"
402,"Seattle World School","Seattle Public Schools","NG",250,"13:1","98122","42644","Seattle-Bellevue-Everett,WA"
403,"Westside High School","Wenatchee School District","NG",244,"19:1","98801","48300","Wenatchee,WA"
404,"Legacy High School","Evergreen Public Schools","NG",235,"29:1","98501","36500","Olympia-Tumwater,WA"
405,"Youth Re-Engagement Program","Monroe School District","NG",233,"—","98501","36500","Olympia-Tumwater,WA"
406,"College Place High School","College Place School District","NG",231,"26:1","99362","47460","WallaWalla,WA"
407,"Discovery Alternative High School","South Kitsap School District","NG",217,"22:1","98501","36500","Olympia-Tumwater,WA"
408,"Columbia Virtual Academy - Sultan","Sultan School District","NG",203,"—","98294","42644","Seattle-Bellevue-Everett,WA"
409,"Discovery High School","Longview School District","NG",199,"43:1","98632","31020","Longview,WA"
410,"Willie Steward Academy - A Reengagement Center","Tacoma School District","NG",196,"—","98501","36500","Olympia-Tumwater,WA"
411,"South Sound High School","North Thurston Public Schools","NG",196,"22:1","98516","36500","Olympia-Tumwater,WA"
412,"Middle College High School","Seattle Public Schools","NG",196,"19:1","98125","42644","Seattle-Bellevue-Everett,WA"
413,"Renaissance Alternative High School","Bremerton School District","NG",195,"19:1","98312","14740","Bremerton-Silverdale,WA"
413,"Renaissance Alternative High School","Bremerton School District","NG",195,"19:1","98312","43220","Shelton,WA"
414,"Valley Academy of Learning","Wenatchee School District","NG",195,"48:1","98501","36500","Olympia-Tumwater,WA"
415,"Lynden Academy","Lynden School District","NG",195,"47:1","98264","13380","Bellingham,WA"
416,"Tacoma CC - Fres Start","Tacoma School District","NG",195,"—","98501","36500","Olympia-Tumwater,WA"
418,"Lake Washington Technical Academy","Lake Washington Institute of Technology","NG",188,"—","98034","42644","Seattle-Bellevue-Everett,WA"
419,"Spokane Valley Transition School","West Valley School District (Spokane)","NG",186,"43:1","99212","44060","Spokane-SpokaneValley,WA"
420,"Career Link High School Completion Program","Highline School District","NG",181,"—","98501","36500","Olympia-Tumwater,WA"
421,"Lincoln High School","Walla Walla Public Schools","NG",177,"14:1","99362","47460","WallaWalla,WA"
423,"Kennewick Alternative Learning Center","Kennewick School District","NG",164,"19:1","98501","36500","Olympia-Tumwater,WA"
424,"Career Academy at Truman High School","Federal Way Public Schools","NG",161,"44:1","98501","36500","Olympia-Tumwater,WA"
425,"Central Kitsap Off-Campus Program","Central Kitsap School District","NG",159,"29:1","98501","36500","Olympia-Tumwater,WA"
426,"Eagle High School","Toppenish School District","NG",158,"17:1","98501","36500","Olympia-Tumwater,WA"
427,"Vancouver Public Schools Supplemental Online Courses","Vancouver School District","NG",154,"31:1","98501","36500","Olympia-Tumwater,WA"
428,"Richland School District Special Education Program","Richland School District","NG",149,"30:1","98501","36500","Olympia-Tumwater,WA"
429,"Educational Opportunity Center","Clarkston School District","NG",148,"29:1","99403","30300","Lewiston,ID-WA"
430,"Alternative High School","Central Kitsap School District","NG",148,"19:1","98383","14740","Bremerton-Silverdale,WA"
431,"Washington Youth Academy","Bremerton","NG",147,"—","98501","36500","Olympia-Tumwater,WA"
433,"AIM High School","Snohomish School District","NG",143,"31:1","98290","42644","Seattle-Bellevue-Everett,WA"
434,"Henderson Bay Alternative High School","Peninsula School District","NG",143,"14:1","98501","36500","Olympia-Tumwater,WA"
435,"Sequim Community School","Sequim School District","NG",142,"34:1","98382","38820","PortAngeles,WA"
436,"Port Gardner","Everett School District","NG",141,"40:1","98201","42644","Seattle-Bellevue-Everett,WA"
437,"Alfaretta House","Clover Park School District","NG",138,"138:1","98499","45104","Tacoma-Lakewood,WA"
438,"E.B. Walker High School","Puyallup School District","NG",137,"15:1","98501","36500","Olympia-Tumwater,WA"
439,"Edmonds School District Special Education Program","Edmonds School District","NG",136,"—","98501","36500","Olympia-Tumwater,WA"
441,"Lincoln Hill High School","Stanwood-Camano School District","NG",130,"18:1","98292","34580","MountVernon-Anacortes,WA"
441,"Lincoln Hill High School","Stanwood-Camano School District","NG",130,"18:1","98292","36020","OakHarbor,WA"
441,"Lincoln Hill High School","Stanwood-Camano School District","NG",130,"18:1","98292","42644","Seattle-Bellevue-Everett,WA"
442,"Stillaguamish School","Arlington School District","NG",130,"36:1","98223","42644","Seattle-Bellevue-Everett,WA"
443,"Weston High School","Arlington School District","NG",130,"15:1","98223","42644","Seattle-Bellevue-Everett,WA"
444,"Auburn School District Student Special Services","Auburn School District","NG",128,"42:1","98501","36500","Olympia-Tumwater,WA"
445,"Choice Academy","Highline School District","NG",126,"19:1","98501","36500","Olympia-Tumwater,WA"
446,"School Home Partnership Program","Marysville School District","NG",126,"30:1","98271","42644","Seattle-Bellevue-Everett,WA"
447,"Mt. Vernon Special Education Program","Mount Vernon School District","NG",123,"61:1","98501","36500","Olympia-Tumwater,WA"
448,"49th Street Academy","Evergreen Public Schools","NG",123,"12:1","98501","36500","Olympia-Tumwater,WA"
449,"Emerson K-12","Lake Washington School District","NG",121,"29:1","98033","42644","Seattle-Bellevue-Everett,WA"
450,"Partnership for Excellence in Alternative Remote Learning (PEARL)","Quilcene School District","NG",119,"17:1","98501","36500","Olympia-Tumwater,WA"
451,"Two Rivers School","Snoqualmie Valley School District","NG",119,"18:1","98045","42644","Seattle-Bellevue-Everett,WA"
452,"Spokane County Open Doors Reengagement Program","Spokane School District","NG",117,"—","98501","36500","Olympia-Tumwater,WA"
453,"Evergreen Flex Academy","Evergreen Public Schools","NG",117,"17:1","98501","36500","Olympia-Tumwater,WA"
454,"Saratoga School","Stanwood-Camano School District","NG",116,"58:1","98292","34580","MountVernon-Anacortes,WA"
454,"Saratoga School","Stanwood-Camano School District","NG",116,"58:1","98292","36020","OakHarbor,WA"
454,"Saratoga School","Stanwood-Camano School District","NG",116,"58:1","98292","42644","Seattle-Bellevue-Everett,WA"
455,"Harbor High School","Aberdeen School District","NG",116,"16:1","98520","10140","Aberdeen,WA"
456,"Lincoln High School Alternative Education Program","Walla Walla Public Schools","NG",114,"—","98501","36500","Olympia-Tumwater,WA"
457,"Easton School","Easton School District","NG",111,"10:1","98925","21260","Ellensburg,WA"
458,"South Whidbey Academy","South Whidbey School District","NG",111,"21:1","98260","36020","OakHarbor,WA"
459,"PARADE Program (Parents & Riverview Actively Delivering Education)","Riverview School District","NG",105,"23:1","98501","36500","Olympia-Tumwater,WA"
460,"Mica Peak High School","Central Valley School District","NG",105,"7:1","99037","44060","Spokane-SpokaneValley,WA"
461,"New Start High School","Highline School District","NG",104,"11:1","98501","36500","Olympia-Tumwater,WA"
462,"South Lake High School","Seattle Public Schools","NG",104,"11:1","98118","42644","Seattle-Bellevue-Everett,WA"
463,"Northshore Special Services","Northshore School District","NG",104,"—","98021","42644","Seattle-Bellevue-Everett,WA"
464,"Russell Ridge Center","Tahoma School District","NG",103,"35:1","98501","36500","Olympia-Tumwater,WA"
465,"Issaquah Special Services","Issaquah School District","NG",102,"—","98027","42644","Seattle-Bellevue-Everett,WA"
466,"Bethel Acceleration Academy","Bethel School District","NG",102,"—","98501","36500","Olympia-Tumwater,WA"
468,"Secondary Options School","Tumwater School District","NG",101,"22:1","98501","36500","Olympia-Tumwater,WA"
469,"The Community School","Spokane School District","NG",100,"13:1","99205","44060","Spokane-SpokaneValley,WA"
470,"Yakima Satellite Alternative Programs","Yakima School District","NG",100,"18:1","98902","49420","Yakima,WA"
471,"Handicapped Contractual Services","Shoreline School District","NG",97,"—","98155","42644","Seattle-Bellevue-Everett,WA"
472,"Options High School","Bellingham School District","NG",96,"16:1","98225","13380","Bellingham,WA"
473,"Thorp School","Thorp School District","NG",95,"6:1","98501","36500","Olympia-Tumwater,WA"
474,"Highline Learning Center","Highline School District","NG",95,"—","98501","36500","Olympia-Tumwater,WA"
475,"Selah Academy","Selah School District","NG",95,"16:1","98942","49420","Yakima,WA"
476,"Leaders in Learning Alternative High School","Monroe School District","NG",94,"22:1","98501","36500","Olympia-Tumwater,WA"
477,"Mead Alternative High School","Mead School District","NG",94,"15:1","99218","44060","Spokane-SpokaneValley,WA"
478,"Heritage School","Marysville School District","NG",91,"11:1","98271","42644","Seattle-Bellevue-Everett,WA"
479,"Lincoln High School","Port Angeles School District","NG",91,"22:1","98363","38820","PortAngeles,WA"
480,"Chimacum School Pi Program","Chimacum School District","NG",89,"20:1","98501","36500","Olympia-Tumwater,WA"
482,"Marysville School District Special Education","Marysville School District","NG",89,"26:1","98501","36500","Olympia-Tumwater,WA"
483,"Mansfield School","Mansfield School District","NG",88,"6:1","98501","36500","Olympia-Tumwater,WA"
484,"Washington State School for the Deaf","Center for Childhood Deafness and Hearing Loss","NG",87,"4:1","98501","36500","Olympia-Tumwater,WA"
485,"Wishram School","Wishram School District","NG",86,"9:1","98501","36500","Olympia-Tumwater,WA"
486,"Marysville MOVE UP Program","Marysville School District","NG",85,"—","98501","36500","Olympia-Tumwater,WA"
487,"Wenatchee Open Doors Program","Wenatchee School District","NG",85,"—","98501","36500","Olympia-Tumwater,WA"
488,"Independent Scholar Program","Riverside School District","NG",83,"40:1","98501","36500","Olympia-Tumwater,WA"
489,"Spokane Valley Learning Academy","Central Valley School District","NG",80,"19:1","99216","44060","Spokane-SpokaneValley,WA"
490,"Futurus High School","Centralia School District","NG",79,"—","98531","16500","Centralia,WA"
490,"Futurus High School","Centralia School District","NG",79,"—","98531","36500","Olympia-Tumwater,WA"
491,"Ocean","Port Townsend School District","NG",79,"30:1","98501","36500","Olympia-Tumwater,WA"
492,"TEAM High School","Woodland School District","NG",78,"39:1","98674","31020","Longview,WA"
492,"TEAM High School","Woodland School District","NG",78,"39:1","98674","38900","Portland-Vancouver-Hillsboro,OR-WA"
493,"HomeWorks","Cheney School District","NG",78,"45:1","99004","44060","Spokane-SpokaneValley,WA"
494,"PACE Alternative High School","Wapato School District","NG",76,"12:1","98501","36500","Olympia-Tumwater,WA"
495,"Wilson Creek High School","Wilson Creek School District","NG",76,"10:1","98501","36500","Olympia-Tumwater,WA"
496,"Chief Kitsap Academy","Suquamish Tribal Education Department","NG",76,"7:1","98370","14740","Bremerton-Silverdale,WA"
497,"Technical Real Access to College & Career","Central Valley School District","NG",75,"21:1","98501","36500","Olympia-Tumwater,WA"
498,"Desert Oasis High School","Othello School District","NG",74,"—","99344","28420","Kennewick-Richland,WA"
498,"Desert Oasis High School","Othello School District","NG",74,"—","99344","34180","MosesLake,WA"
499,"Support School","Federal Way Public Schools","NG",74,"—","98501","36500","Olympia-Tumwater,WA"
500,"Tiger Mountain Community High School","Issaquah School District","NG",72,"8:1","98501","36500","Olympia-Tumwater,WA"
502,"Wenatchee Valley Technical Skills Center","Moses Lake School District","NG",71,"5:1","98501","36500","Olympia-Tumwater,WA"
503,"New Market High School","Tumwater School District","NG",71,"71:1","98501","36500","Olympia-Tumwater,WA"
505,"Home Link Alternative School","Chewelah School District","NG",69,"43:1","98501","36500","Olympia-Tumwater,WA"
506,"Excelsior High School","Washougal School District","NG",68,"30:1","98671","38900","Portland-Vancouver-Hillsboro,OR-WA"
507,"Emerson High School","Lake Washington School District","NG",68,"7:1","98033","42644","Seattle-Bellevue-Everett,WA"
508,"Tacoma Public Schools Special Education","Tacoma School District","NG",67,"—","98501","36500","Olympia-Tumwater,WA"
509,"Fir Grove Children's Center","Vancouver School District","NG",67,"7:1","98501","36500","Olympia-Tumwater,WA"
510,"East Side Alternative School","Central Kitsap School District","NG",66,"17:1","98501","36500","Olympia-Tumwater,WA"
511,"Eagle Peak School at Pratt","Spokane School District","NG",66,"5:1","98501","36500","Olympia-Tumwater,WA"
512,"Hoquiam Homelink School","Hoquiam School District","NG",66,"30:1","98550","10140","Aberdeen,WA"
513,"Olympic Peninsula HomeConnection","Crescent School District","NG",66,"30:1","98501","36500","Olympia-Tumwater,WA"
514,"Blaine Home Connections","Blaine School District","NG",65,"26:1","98230","13380","Bellingham,WA"
515,"Quincy High Tech High School","Quincy School District","NG",62,"13:1","98501","36500","Olympia-Tumwater,WA"
516,"Lewis River Academy","Woodland School District","NG",61,"28:1","98674","31020","Longview,WA"
516,"Lewis River Academy","Woodland School District","NG",61,"28:1","98674","38900","Portland-Vancouver-Hillsboro,OR-WA"
517,"Snoqualmie Access","Snoqualmie Valley School District","NG",61,"—","98065","42644","Seattle-Bellevue-Everett,WA"
518,"Open Door Youth Reengagement Renton","Renton School District","NG",60,"—","98055","42644","Seattle-Bellevue-Everett,WA"
519,"Contract Learning Center","Grandview School District","NG",59,"59:1","98930","28420","Kennewick-Richland,WA"
519,"Contract Learning Center","Grandview School District","NG",59,"59:1","98930","49420","Yakima,WA"
520,"Futures School","Lake Washington School District","NG",59,"26:1","98034","42644","Seattle-Bellevue-Everett,WA"
521,"Special Services","Mukilteo School District","NG",59,"59:1","98204","42644","Seattle-Bellevue-Everett,WA"
522,"Sage Hills High School","Ephrata School District","NG",59,"16:1","98823","34180","MosesLake,WA"
523,"Palouse High School","Palouse School District","NG",58,"8:1","99161","39420","Pullman,WA"
524,"Burlington Edison Alternative School","Burlington-Edison School District","NG",57,"15:1","98501","36500","Olympia-Tumwater,WA"
526,"Phoenix High School","Kennewick School District","NG",56,"14:1","99338","28420","Kennewick-Richland,WA"
527,"Community IMAGES","Spokane School District","NG",56,"13:1","98501","36500","Olympia-Tumwater,WA"
528,"Skill Source Learning Center","Moses Lake School District","NG",55,"—","98837","34180","MosesLake,WA"
529,"Family Link Program","Vashon Island School District","NG",53,"25:1","98501","36500","Olympia-Tumwater,WA"
530,"Taholah High School","Taholah School District","NG",53,"5:1","98587","10140","Aberdeen,WA"
532,"Wellpinit-Fort Semco High School","Wellpinit School District","NG",53,"26:1","98952","49420","Yakima,WA"
533,"Cap Sante High School","Anacortes School District","NG",52,"26:1","98221","34580","MountVernon-Anacortes,WA"
534,"Three Springs High School","Cheney School District","NG",52,"18:1","99004","44060","Spokane-SpokaneValley,WA"
535,"North River School","North River School District","NG",52,"5:1","98537","10140","Aberdeen,WA"
536,"Community Based Trans Program","Tacoma School District","NG",51,"17:1","98501","36500","Olympia-Tumwater,WA"
537,"Parent-Assisted Learning (PAL) Program","North Kitsap School District","NG",51,"20:1","98501","36500","Olympia-Tumwater,WA"
538,"Phoenix Program","Puyallup School District","NG",49,"30:1","98373","45104","Tacoma-Lakewood,WA"
539,"North Kitsap School District Special Education Program","North Kitsap School District","NG",49,"—","98501","36500","Olympia-Tumwater,WA"
541,"Cva - Onalaska","Onalaska School District","NG",48,"43:1","98501","36500","Olympia-Tumwater,WA"
542,"Clarkston School District Special Education Program","Clarkston School District","NG",48,"—","98501","36500","Olympia-Tumwater,WA"
543,"Washington State School for the Blind","Office of the Governor (School for Blind)","NG",48,"3:1","98501","36500","Olympia-Tumwater,WA"
544,"Washtucna School","Washtucna School District","NG",47,"3:1","98501","36500","Olympia-Tumwater,WA"
545,"Kahlotus School","Kahlotus School District","NG",47,"4:1","98501","36500","Olympia-Tumwater,WA"
546,"Lincoln High School Homelink","Walla Walla Public Schools","NG",46,"20:1","98501","36500","Olympia-Tumwater,WA"
547,"Gateway to College","Federal Way Public Schools","NG",46,"—","98501","36500","Olympia-Tumwater,WA"
549,"Lind Junior/Senior High School","Lind School District","NG",45,"4:1","98501","36500","Olympia-Tumwater,WA"
550,"Creston Junior/Senior High School","Creston School District","NG",44,"5:1","98501","36500","Olympia-Tumwater,WA"
552,"Medical Lake Alternative High School","Medical Lake School District","NG",42,"30:1","99022","44060","Spokane-SpokaneValley,WA"
553,"Renton Academy","Renton School District","NG",42,"5:1","98056","42644","Seattle-Bellevue-Everett,WA"
