"rank_data","s_name","s_district","n_rating","students_num","teacher_ratio"
"94","Port Townsend High School","Port Townsend School District, WA","B+","416","20:1"
"95","Anacortes High School","Anacortes School District, WA","B+","809","22:1"
"96","West Valley High School","West Valley School District (Yakima), WA","B+","1040","23:1"
"97","Klickitat School","Klickitat School District, WA","B+","80","8:1"
"98","Southridge High School","Kennewick School District, WA","B+","1679","24:1"
"99","Columbia River High School","Vancouver School District, WA","B+","1268","22:1"
"100","Gig Harbor High School","Peninsula School District, WA","B+","1741","25:1"
"101","Vancouver Home Connection","Vancouver School District, WA","B+","269","20:1"
"102","Bridgeport High School","Bridgeport School District, WA","B+","209","16:1"
"103","Mariner High School","Mukilteo School District, WA","B+","2172","21:1"
"104","Oakland High School","Tacoma School District, WA","B","234","18:1"
"105","Northshore Home School Networks","Northshore School District, WA","B","166","23:1"
"106","CAM Academy","Battle Ground School District, WA","B","585","26:1"
"107","Mead Senior High School","Mead School District, WA","B","1577","21:1"
"108","Cascade High School","Everett School District, WA","B","1812","23:1"
"109","Hazen Senior High School","Renton School District, WA","B","1547","24:1"
"110","Tumwater High School","Tumwater School District, WA","B","1177","21:1"
"111","Vancouver iTech Preparatory","Vancouver School District, WA","B","339","17:1"
"112","Lopez Middle High School","Lopez School District, WA","B","102","9:1"
"113","Technology Engineering & Communications High School","Highline School District, WA","B","290","17:1"
"114","Cashmere High School","Cashmere School District, WA","B","485","20:1"
"115","Sehome High School","Bellingham School District, WA","B","1142","23:1"
"116","South Whidbey High School","South Whidbey School District, WA","B","516","19:1"
"117","Windward High School","Ferndale School District, WA","B","190","25:1"
"118","Chief Sealth International High School","Seattle Public Schools, WA","B","1221","18:1"
"119","Asotin Junior/Senior High School","Asotin-Anatone School District, WA","B","341","29:1"
"120","Richland High School","Richland School District, WA","B","2047","25:1"
"121","Stevenson High School","Stevenson-Carson School District, WA","B","302","21:1"
"122","Woodland High School","Woodland School District, WA","B","651","21:1"
"123","Kittitas High School","Kittitas School District, WA","B","367","19:1"
"124","Omak High School","Omak School District, WA","B","404","17:1"
"125","Chelan High School","Lake Chelan School District, WA","B","419","18:1"
"126","Capital High School","Olympia School District, WA","B","1402","22:1"
"127","Curlew School","Curlew School District, WA","B","194","11:1"
"128","Lynnwood High School","Edmonds School District, WA","B","1445","21:1"
"129","Stadium High School","Tacoma School District, WA","B","1680","23:1"
"130","Mountlake Terrace High School","Edmonds School District, WA","B","1270","21:1"
"131","Columbia High School","White Salmon Valley School District, WA","B","387","19:1"
"132","Colton School","Colton School District, WA","B","166","11:1"
"133","Spokane Valley High School","West Valley School District (Spokane), WA","B","107","13:1"
"134","Everett High School","Everett School District, WA","B","1435","21:1"
"135","Manson Junior/Senior High School","Manson School District, WA","B","193","14:1"
"136","Washington Virtual Academy High School - Omak","Omak School District, WA","B","816","29:1"
"137","La Conner High School","La Conner School District, WA","B","227","15:1"
"138","J.M. Weatherwax High School","Aberdeen School District, WA","B","909","18:1"
"139","Entiat Junior/Senior High School","Entiat School District, WA","B","193","14:1"
"140","Franklin Pierce High School","Franklin Pierce School District, WA","B","1192","20:1"
"141","Franklin High School","Seattle Public Schools, WA","B","1315","20:1"
"142","Lindbergh Senior High School","Renton School District, WA","B","1243","22:1"
"143","Mary Walker High School","Mary Walker School District, WA","B","138","13:1"
