"MSA.code","high_rank","students_num","school_count","school_list"
"36500",13,97719,233," 13 | Redmond High School <br/> 19 | Woodinville High School <br/> 21 | Inglemoor High School <br/> 23 | Vancouver School of Arts & Academics <br/> 24 | Liberty Senior High School <br/> 25 | Harrison Preparatory School <br/> 26 | Olympia High School <br/> 30 | Liberty Bell Junior/Senior High School <br/> 32 | Sammamish Senior High School <br/> 35 | Curtis Senior High School <br/> 39 | Lake Washington High School <br/> 48 | Science & Math Institute <br/> 51 | Mountain View High School <br/> 59 | Pullman High School <br/> 62 | Timberline High School <br/> 63 | Trout Lake High School <br/> 67 | Steilacoom High School <br/> 72 | Bickleton School <br/> 74 | Mt. Spokane High School <br/> 75 | Union High School <br/> 79 | Juanita High School <br/> 82 | North Thurston High School <br/> 86 | Touchet Elementary & High School <br/> 87 | Lake Stevens Senior High School <br/> 90 | Ilwaco Senior High School <br/> 91 | Clallam Bay School <br/> 97 | Klickitat School <br/> 99 | Columbia River High School <br/> 100 | Gig Harbor High School <br/> 105 | Northshore Home School Networks <br/> 110 | Tumwater High School <br/> 113 | Technology Engineering & Communications High School <br/> 114 | Cashmere High School <br/> 117 | Windward High School <br/> 119 | Asotin Junior/Senior High School <br/> 126 | Capital High School <br/> 127 | Curlew School <br/> 129 | Stadium High School <br/> 135 | Manson Junior/Senior High School <br/> 136 | Washington Virtual Academy High School - Omak <br/> 138 | J.M. Weatherwax High School <br/> 139 | Entiat Junior/Senior High School <br/> 144 | Winlock Senior High School <br/> 147 | Thomas Jefferson High School <br/> 149 | Marysville-Pilchuck Pathways of Choice High School <br/> 154 | Klahowya Secondary School <br/> 155 | A.G. West Black Hills High School <br/> 156 | Wilson High School <br/> 159 | Decatur High School <br/> 165 | Darrington High School <br/> 169 | Avanti High School <br/> 172 | International School of Communications <br/> 173 | Gov. John Rogers High School <br/> 174 | R.A. Long High School <br/> 177 | River HomeLink School <br/> 178 | Washington Virtual Academy <br/> 180 | Homelink Alternative School <br/> 186 | Enumclaw Senior High School <br/> 187 | Eastmont Senior High School <br/> 190 | Technology Access Foundation Academy <br/> 194 | Health Sciences & Human Services High School <br/> 197 | Sequim Senior High School <br/> 199 | Napavine Junior/Senior High School <br/> 201 | Rosalia School <br/> 203 | Lake Roosevelt Jr./Sr. High School <br/> 205 | W.F. West High School <br/> 207 | Federal Way High School <br/> 208 | Mount Baker Senior High School <br/> 210 | Internet Academy <br/> 213 | Ocosta Junior/Senior High School <br/> 214 | Wishkah Valley School <br/> 216 | Pomeroy Junior/Senior High School <br/> 218 | Hela High School <br/> 219 | Lincoln High School <br/> 221 | Academy of Citizenship & Empowerment <br/> 233 | Mossyrock Middle/High School <br/> 240 | Todd Beamer High School <br/> 243 | Yelm High School <br/> 245 | River Ridge High School <br/> 246 | Rainier Senior High School <br/> 249 | Forks High School <br/> 251 | Raymond Junior/Senior High School <br/> 255 | Morton Junior/Senior High School <br/> 267 | Willapa Valley Junior/Senior High School <br/> 268 | Montesano Junior/Senior High School <br/> 270 | East Valley High School & Extension <br/> 271 | Jenkins Junior/Senior High School <br/> 273 | Centralia High School <br/> 274 | White Pass Junior/Senior High School <br/> 275 | Evergreen High School <br/> 279 | Mt. Tahoma High School <br/> 281 | Rochester High School <br/> 293 | Olympia Regional Learning Academy <br/> 296 | Columbia High School <br/> 298 | St. John & Endicott High School <br/> 299 | Columbia School <br/> 307 | Kalama Junior/Senior High School <br/> 311 | Tenino High School <br/> 312 | Foss High School <br/> 314 | Heritage High School <br/> 317 | Naselle-Grays River Valley Junior/Senior High School <br/> 323 | Oroville Middle/High School <br/> 329 | Quilcene School <br/> 330 | Academy of Construction & Engineering <br/> 332 | Yakima Online School <br/> 333 | Prescott Junior/Senior High School <br/> 350 | Soap Lake Middle/High School <br/> 353 | Three Rivers HomeLink <br/> 355 | Neah Bay Junior/Senior High School <br/> 357 | Marysville Arts & Technology High School <br/> 364 | Mary M. Knight High School <br/> 365 | Cusick Junior/Senior High School <br/> 366 | Lewis & Clark High School <br/> 367 | Mabton Junior/Senior High School <br/> 369 | Yelm Extension School <br/> 377 | Cedarcrest Junior High School <br/> 379 | Iq Academy Washington <br/> 380 | Centralia Middle School <br/> 381 | Oasis K-12 <br/> 384 | Northwest Allprep <br/> 385 | Washington Academy of Arts & Technology <br/> 386 | Mead Education Partnership Program <br/> 391 | GRAVITY High School <br/> 392 | Skagit Family Learning Center <br/> 393 | Contract Based Education (CBE) Alternative Programs <br/> 399 | Home Connection Parent Partnership Program <br/> 400 | Kennewick Mid-Columbia Parent Partnership <br/> 401 | Bates Technical High School <br/> 404 | Legacy High School <br/> 405 | Youth Re-Engagement Program <br/> 407 | Discovery Alternative High School <br/> 410 | Willie Steward Academy - A Reengagement Center <br/> 411 | South Sound High School <br/> 414 | Valley Academy of Learning <br/> 416 | Tacoma CC - Fres Start <br/> 420 | Career Link High School Completion Program <br/> 423 | Kennewick Alternative Learning Center <br/> 424 | Career Academy at Truman High School <br/> 425 | Central Kitsap Off-Campus Program <br/> 426 | Eagle High School <br/> 427 | Vancouver Public Schools Supplemental Online Courses <br/> 428 | Richland School District Special Education Program <br/> 431 | Washington Youth Academy <br/> 434 | Henderson Bay Alternative High School <br/> 438 | E.B. Walker High School <br/> 439 | Edmonds School District Special Education Program <br/> 444 | Auburn School District Student Special Services <br/> 445 | Choice Academy <br/> 447 | Mt. Vernon Special Education Program <br/> 448 | 49th Street Academy <br/> 450 | Partnership for Excellence in Alternative Remote Learning (PEARL) <br/> 452 | Spokane County Open Doors Reengagement Program <br/> 453 | Evergreen Flex Academy <br/> 456 | Lincoln High School Alternative Education Program <br/> 459 | PARADE Program (Parents & Riverview Actively Delivering Education) <br/> 461 | New Start High School <br/> 464 | Russell Ridge Center <br/> 466 | Bethel Acceleration Academy <br/> 468 | Secondary Options School <br/> 473 | Thorp School <br/> 474 | Highline Learning Center <br/> 476 | Leaders in Learning Alternative High School <br/> 480 | Chimacum School Pi Program <br/> 482 | Marysville School District Special Education <br/> 483 | Mansfield School <br/> 484 | Washington State School for the Deaf <br/> 485 | Wishram School <br/> 486 | Marysville MOVE UP Program <br/> 487 | Wenatchee Open Doors Program <br/> 488 | Independent Scholar Program <br/> 490 | Futurus High School <br/> 491 | Ocean <br/> 494 | PACE Alternative High School <br/> 495 | Wilson Creek High School <br/> 497 | Technical Real Access to College & Career <br/> 499 | Support School <br/> 500 | Tiger Mountain Community High School <br/> 502 | Wenatchee Valley Technical Skills Center <br/> 503 | New Market High School <br/> 505 | Home Link Alternative School <br/> 508 | Tacoma Public Schools Special Education <br/> 509 | Fir Grove Children's Center <br/> 510 | East Side Alternative School <br/> 511 | Eagle Peak School at Pratt <br/> 513 | Olympic Peninsula HomeConnection <br/> 515 | Quincy High Tech High School <br/> 524 | Burlington Edison Alternative School <br/> 527 | Community IMAGES <br/> 529 | Family Link Program <br/> 536 | Community Based Trans Program <br/> 537 | Parent-Assisted Learning (PAL) Program <br/> 539 | North Kitsap School District Special Education Program <br/> 541 | Cva - Onalaska <br/> 542 | Clarkston School District Special Education Program <br/> 543 | Washington State School for the Blind <br/> 544 | Washtucna School <br/> 545 | Kahlotus School <br/> 546 | Lincoln High School Homelink <br/> 547 | Gateway to College <br/> 549 | Lind Junior/Senior High School <br/> 550 | Creston Junior/Senior High School <br/> 554 | PACE Academy <br/> 555 | Toledo Alternative Options School <br/> 557 | Port Angeles Special Education Program <br/> 559 | LaCrosse High School <br/> 561 | East Grays Harbor Learning Opportunity Center <br/> 564 | Employment Transition Program <br/> 566 | Columbia Basin Technical Skills Center <br/> 567 | Apolo High School <br/> 568 | REACH Center <br/> 569 | Glenwood Secondary School <br/> 570 | Off-Campus Special Education <br/> 571 | Digital Electronic Contact Mary Walker Parent Partnership Program <br/> 575 | Arlington Special Education School <br/> 576 | Gateway to Adult Transition Education (GATE) <br/> 579 | Central Kitsap (CK) Online Academy <br/> 582 | Sentinel Tech Alternative School <br/> 585 | Gar-Pal High School <br/> 588 | Columbia Gorge School <br/> 589 | Student Link Program <br/> 590 | Cva-Lopez Island <br/> 593 | A-3 Multiagency Adolescent Program <br/> 596 | Enumclaw School District Special Education Program <br/> 597 | Holistic Educational Alternatives for Rochester Teens (HEART) High School <br/> 600 | REACH K-8 Home School Program <br/> 602 | Methow Valley Independent Learning Center <br/> 608 | Ellensburg Learning Center <br/> 610 | Granite Falls Open Doors Program <br/> 611 | Kelso School District Special Education Program <br/> 613 | Highline Homeschool Center <br/> 617 | Gates Open Doors Program <br/> 618 | Merit School <br/> 619 | Parents As Partners Program <br/>"
"38820",231,3336,6," 231 | Port Angeles High School <br/> 341 | Insight School of Washington <br/> 435 | Sequim Community School <br/> 479 | Lincoln High School <br/> 580 | Forks Alternative School <br/> 612 | District Run Home School <br/>"
"38900",29,15815,18," 29 | Camas High School <br/> 106 | CAM Academy <br/> 121 | Stevenson High School <br/> 122 | Woodland High School <br/> 153 | Ridgefield High School <br/> 164 | Hockinson High School <br/> 166 | Skyview High School <br/> 206 | Prairie High School <br/> 228 | La Center High School <br/> 287 | Fort Vancouver High School <br/> 305 | Washougal High School <br/> 315 | Battle Ground High School <br/> 316 | Hudson's Bay High School <br/> 327 | Hayes Freedom High School <br/> 375 | Summit View High School <br/> 492 | TEAM High School <br/> 506 | Excelsior High School <br/> 516 | Lewis River Academy <br/>"
"39420",132,649,5," 132 | Colton School <br/> 167 | Colfax High School <br/> 188 | Oakesdale High School <br/> 348 | Tekoa High School <br/> 523 | Palouse High School <br/>"
"42644",1,86046,107," 1 | Tesla STEM High School <br/> 2 | Interlake Senior High School <br/> 3 | International School <br/> 4 | International Community School <br/> 5 | Garfield High School <br/> 6 | Bellevue High School <br/> 7 | Mercer Island High School <br/> 8 | Newport Senior High School <br/> 9 | Roosevelt High School <br/> 10 | Raisbeck Aviation High School <br/> 11 | Issaquah High School <br/> 16 | Ballard High School <br/> 17 | Ingraham High School <br/> 18 | Nathan Hale High School <br/> 20 | Kamiak High School <br/> 22 | Vashon Island High School <br/> 27 | Henry M. Jackson High School <br/> 28 | Shorewood High School <br/> 36 | Kentlake High School <br/> 37 | Bothell High School <br/> 38 | Glacier Peak High School <br/> 40 | Auburn Mountainview High School <br/> 43 | Edmonds Woodway High School <br/> 45 | Tahoma Senior High School <br/> 46 | Kentridge High School <br/> 47 | Shorecrest High School <br/> 50 | Kent Mountain View Academy <br/> 52 | The Center School <br/> 54 | Mount Si High School <br/> 57 | West Seattle High School <br/> 61 | Nova High School <br/> 64 | Cascade Parent Partnership Program <br/> 66 | Meadowdale High School <br/> 68 | Auburn Riverside High School <br/> 70 | Snohomish High School <br/> 83 | Arlington High School <br/> 84 | Kentwood High School <br/> 85 | Sky Valley Education Center <br/> 92 | Secondary Academy for Success <br/> 103 | Mariner High School <br/> 108 | Cascade High School <br/> 109 | Hazen Senior High School <br/> 118 | Chief Sealth International High School <br/> 128 | Lynnwood High School <br/> 130 | Mountlake Terrace High School <br/> 134 | Everett High School <br/> 141 | Franklin High School <br/> 142 | Lindbergh Senior High School <br/> 148 | Cedarcrest High School <br/> 170 | Edmonds Heights K-12 <br/> 179 | Home Program <br/> 184 | Mount Rainier High School <br/> 185 | Monroe High School <br/> 191 | Cleveland High School STEM <br/> 196 | Auburn Senior High School <br/> 242 | West Auburn Senior High School <br/> 254 | Arts & Academics Academy <br/> 256 | Marysville Mountain View High School <br/> 260 | Bio Med Academy <br/> 261 | Renton Senior High School <br/> 265 | Stanwood High School <br/> 266 | Big Picture School <br/> 280 | Foster Senior High School <br/> 283 | Rainier Beach High School <br/> 288 | Highline High School <br/> 295 | Global Connections High School <br/> 319 | Granite Falls High School <br/> 324 | School for the Entrepreneur <br/> 354 | Sequoia High School <br/> 362 | Sultan Senior High School <br/> 363 | ACES High School <br/> 368 | Crossroads High School <br/> 390 | Bellevue Big Picture School <br/> 395 | Secondary Learning Center <br/> 396 | Edmonds Career Access Program <br/> 397 | Shoreline-Monroe High School <br/> 398 | Scriber Lake High School <br/> 402 | Seattle World School <br/> 408 | Columbia Virtual Academy - Sultan <br/> 412 | Middle College High School <br/> 418 | Lake Washington Technical Academy <br/> 433 | AIM High School <br/> 436 | Port Gardner <br/> 441 | Lincoln Hill High School <br/> 442 | Stillaguamish School <br/> 443 | Weston High School <br/> 446 | School Home Partnership Program <br/> 449 | Emerson K-12 <br/> 451 | Two Rivers School <br/> 454 | Saratoga School <br/> 462 | South Lake High School <br/> 463 | Northshore Special Services <br/> 465 | Issaquah Special Services <br/> 471 | Handicapped Contractual Services <br/> 478 | Heritage School <br/> 507 | Emerson High School <br/> 517 | Snoqualmie Access <br/> 518 | Open Door Youth Reengagement Renton <br/> 520 | Futures School <br/> 521 | Special Services <br/> 553 | Renton Academy <br/> 558 | Snoqualmie Parent Partnership Program <br/> 572 | Snohomish Center <br/> 573 | Maplewood Center <br/> 603 | Puget Sound High School <br/> 604 | Northshore Online School <br/> 614 | Skykomish High School <br/>"
"43220",126,4172,7," 126 | Capital High School <br/> 227 | North Mason Senior High School <br/> 337 | Shelton High School <br/> 338 | Elma High School <br/> 359 | Choice Alternative School <br/> 413 | Renaissance Alternative High School <br/> 620 | North Mason Homelink Program <br/>"
"44060",44,21902,36," 44 | Lewis & Clark High School <br/> 49 | Newport High School <br/> 55 | Ferris High School <br/> 60 | North Central High School <br/> 73 | Freeman High School <br/> 77 | Central Valley High School <br/> 107 | Mead Senior High School <br/> 133 | Spokane Valley High School <br/> 150 | West Valley High School <br/> 182 | Liberty High School <br/> 193 | Lakeside High School <br/> 202 | Cheney High School <br/> 223 | Reardan Middle-Senior High School <br/> 226 | Medical Lake High School <br/> 236 | Rogers High School <br/> 244 | On Track Academy <br/> 252 | Shadle Park High School <br/> 257 | University High School <br/> 258 | Deer Park Home Link Program <br/> 278 | Riverpoint Academy <br/> 304 | Deer Park High School <br/> 344 | Riverside High School <br/> 378 | Bryant Center <br/> 388 | Spokane Area Professional-Technical Skills Center <br/> 394 | Libby Center <br/> 419 | Spokane Valley Transition School <br/> 460 | Mica Peak High School <br/> 469 | The Community School <br/> 477 | Mead Alternative High School <br/> 489 | Spokane Valley Learning Academy <br/> 493 | HomeWorks <br/> 534 | Three Springs High School <br/> 552 | Medical Lake Alternative High School <br/> 595 | Pend Oreille River School <br/> 607 | Spokane Valley Tech <br/> 622 | Excelsior Youth Center School <br/>"
"45104",53,21262,23," 53 | Peninsula High School <br/> 65 | Tacoma School of the Arts <br/> 93 | Sumner High School <br/> 104 | Oakland High School <br/> 140 | Franklin Pierce High School <br/> 162 | Graham Kapowsin High School <br/> 168 | Fife High School <br/> 175 | Washington High School <br/> 176 | Lakes High School <br/> 181 | Emerald Ridge High School <br/> 192 | Gates Secondary School <br/> 217 | Puyallup High School <br/> 248 | White River High School <br/> 262 | Spanaway Lake High School <br/> 302 | Eatonville High School <br/> 322 | Clover Park High School <br/> 336 | Orting High School <br/> 346 | Challenger High School <br/> 347 | Bethel High School <br/> 437 | Alfaretta House <br/> 538 | Phoenix Program <br/> 606 | Day Reporting School <br/> 615 | Transition Day Students <br/>"
"47460",78,2386,4," 78 | Walla Walla High School <br/> 310 | Waitsburg High School <br/> 406 | College Place High School <br/> 421 | Lincoln High School <br/>"
"48300",102,4943,13," 102 | Bridgeport High School <br/> 125 | Chelan High School <br/> 152 | Wenatchee High School <br/> 220 | Cascade High School <br/> 292 | Waterville High School <br/> 325 | Almira Coulee Hartline High School <br/> 356 | Quincy High School <br/> 361 | Brewster High School <br/> 403 | Westside High School <br/> 565 | Chelan School of Innovation <br/> 599 | Brewster Alternative School <br/> 605 | Holden Village Community School <br/> 609 | Bridgeport Aurora High School <br/>"
"49420",96,14592,21," 96 | West Valley High School <br/> 161 | Zillah High School <br/> 200 | Selah High School <br/> 269 | East Valley High School <br/> 282 | Highland High School <br/> 289 | White Swan High School <br/> 294 | Wapato High School <br/> 301 | Eisenhower High School <br/> 339 | Davis High School <br/> 340 | Sunnyside High School <br/> 345 | Naches Valley High School <br/> 360 | Toppenish High School <br/> 370 | Grandview High School <br/> 371 | Granger High School <br/> 372 | Compass High School <br/> 373 | Stanton Academy <br/> 387 | West Valley High School Freshman Campus <br/> 470 | Yakima Satellite Alternative Programs <br/> 475 | Selah Academy <br/> 519 | Contract Learning Center <br/> 532 | Wellpinit-Fort Semco High School <br/>"
